""	Highbridge & Burnham			
""	"Uphill Junction to Highbridge & BurnhamPass to Stop"	"From Worle Junction viaavoiding line at higherspeed"	D245 to D315	-{1}
""			D350 to D455	-{2}
""			15x to 166	-{1⁄2}
""	"Uphill Junction to Highbridge & BurnhamPass to Stop"	"From Weston-super-Mare with slow speed atUphill Jn"	HST/22X/80x	+{1}
""	"Uphill Junction to Highbridge & BurnhamPass to Pass"	"From Worle Junction viaavoiding line at higherspeed"	"15x to 166/GWRShort Form HST(HSTGW4)"	-{1⁄2}
""	"Uphill Junction to Highbridge & BurnhamPass to Pass"	"From Weston-super-Mare with slow speed atUphill Jn"	HST/22X/80x	+{1}
""			D245 to D315	+{1}
""			D350 to D455	+{2}
""				
""	Dwell Time			
""	Class 150	1⁄2		
""	Class 153 to 159	1		
""	LH	11⁄2		
""	Highbridge Up Goods Loop			
""				
""	Adjustments to Sectional Running Times (allowance to be shown approaching this location)			
""	Movement	Reason	Timing Load	Value
""	Crossing into the Up loop	"Slow turnout speed intothe loop (25 mph)"	All traffic	+{1}
""	Bridgwater	
""		
""	Dwell Time	
""	LH	11⁄2
""	Class 15x	1
""	GW107  WORLE JUNCTION TO UPHILL JUNCTION VIA WESTON-SUPER-MARE	
""		
""	Weston Milton	
""		
""	Dwell Time	
""	LH	11⁄2
""	Class 15x, 16x	1⁄2
""	GWR Short Form HST (HSTGW4)	1
""	Weston-super-Mare	
""		
""	Dwell Time	
""	22x / Class 80x London services	2
""	Class 80x Non London services	11⁄2
""	GWR Short form HST (HSTGW4)	1*
""	*11⁄2 in the down direction SX between 1545 - 1830	
""		
""	Junction margins	
