"LN3635 ALLINGTON WEST JUNCTION (EXCLUSIVE) TO NETHERFIELDJUNCTION"			
TIMING POINT	DOWN	UP	NOTES
""			
"Allington West Jn to BottesfordWest Jn"	AB+2	AB+2	
Bottesford West Jn to Bingham	AB+2	AB+2	
Bingham to Netherfield Jn	4	61⁄2	
