""	"SO300 LEWISHAM JUNCTION TO CRAYFORD CREEK JUNCTION (VIABEXLEYHEATH)"					
""	TIMING POINT	DOWN	UP	CODE	NOTES	
""						
""	Lewisham Junction				"To/from Lewisham Vale Junction - SO330To/from St Johns - SO130D"	
""	Lewisham	-	-  UNK		Platform detail must be shown	
""	Blackheath	-	-		Platform detail must be shown	
""	Blackheath Junction				To/from Angerstein Junction - SO290A	
""	Kidbrooke	-	-	S		
""	Eltham	-	-			
""	Falconwood	-	-	S		
""	Welling	-	-	S		
""	Bexleyheath	-	-	S		
""	Barnehurst	-  DM	-		"Down trains commencing journey shouldshow line code"	
""	Perry Street Fork Junction	-	-		"To/from Slade Green Junction - SO300ATILPOC BRNHPSJ"	
""	Crayford Creek Junction	-	-		"To/from Crayford Spur ‘A’ Junction -SO290"	
""	SO300A SLADE GREEN JUNCTION TO PERRY STREET FORK JUNCTION					
""	TIMING POINT	DOWN	UP	CODE	NOTES	
""						
""	Slade Green Junction				To/from Slade Green - SO290	
""	Erith Loop	-	-		"All trains are required to show a dot stop toenable ARS ARS to regulate correctly"	
""	Perry Street Fork Junction	-	-		"To/from Barnehurst – SO300TILPOC BRNHPSJ"	
""	SO310 HITHER GREEN TO MAIDSTONE WEST (VIA SIDCUP)					
""	TIMING POINT	DOWN	UP	CODE	NOTES	
""						
""	Hither Green	-	- SL		"Platform detail must be shownTo/from Parks Bridge Junction - SO130"	
""	"Lee Loop Junction Lee LoopJunction"	-		S	"To/from Lee Spur Junction - SO310ATiming point for trains regulated at TL345"	
""	Lee	-	-			
""	Mottingham	-	-	S		
""	New Eltham	-	-	S		
""	Sidcup	- DM	-		"Down trains commencing journey should showline code"	
""	Sidcup Berthing Siding	-	-	S	Timing point for trains to and from Siding	
""	Albany Park	-	-	S		
""	Bexley	-	-	S		
""	Crayford	- DM	-		"Down trains commencing journey should showline code"	
""	Crayford Spur ‘B’ Junction	-	-		To/from Crayford Spur - SO310B	
""	Dartford Junction	UML	-		To/from Crayford Spur ‘A’ Junction - SO290	
