UTU179	"24 -
weekly"	"15/02/2024
01/08/2024"	46 & 18	"Doncaster West
Yard -
Ferrybridge -
Monk Bretton -
Castleford -
Doncaster West
Yard"	3Q13PD	ThO	22	"DONCASTER
WEST YARD"	DONCASTER WEST YARD	05.08	"UTU-
R"	RG
UTU086	"8 -
weekly"	08/01/2024	"41, 48,
04, 12,
20,
28 & 36"	"Derby - Barrow
Hill - Doncaster
- Newcastle -
Heaton"	3Q15GN	MO	22.10	"DERBY
R.T.C.(NETWORK
RAIL)"	HEATON T&R.S.M.D.	05.34	"UTU-
T"	RG
UTU045	"8 -
weekly"	29/01/2024	"44, 52,
08, 16,
24
& 32"	"Derby - Colwich
- Cheadle -
Crewe"	3Q16FA	MO	20.46	"DERBY
R.T.C.(NETWORK
RAIL)"	CREWE C.S. (L&NWR SITE)	06.28	"UTU-
T"	RG
"UTU015
A &
UTU015
B"	"8 -
weekly"	02/02/2024	"44, 52,
08, 16,
24 &
32"	"Crewe - Stafford
- Rugby via
Birmingham
New Street -
Derby RTC"	3Q17EB	FO	23.22	"CREWE C.S.
(L&NWR SITE)"	"DERBY R.T.C.(NETWORK
RAIL)"	08.32	"UTU-
T"	RG
UTU043	"8 -
weekly"	08/01/2024	"41, 49,
05, 13,
21 &
29"	"Derby - York -
Moorthorpe -
Leeds -
Doncaster West
Yard"	3Q19SB	MO	23.08	"DERBY
R.T.C.(NETWORK
RAIL)"	DONCASTER WEST YARD	05.49	"UTU-
T"	RG
