""	19/12/2023	"38, 47,
03, 11,
19 &
27 & 35"	3Q10CB	TO	05.20	"LONDON
WATERLOO"	HITHER GREEN P.A.D.	06.45	"UTU-
T"	RG		
"UTU034
S"	"8 -
weekly"	08/12/2023	"41, 48,
04, 12,
20,
28 & 36"	"Derby -
Grantham - FL -
Kings Cross -
Hither Green"	3Q10BA	MO	21.12	"DERBY
R.T.C.(NETWORK
RAIL)"	HITHER GREEN P.A.D.	06.41	"UTU-
T"	RG
"UTU016
S"	"8 -
weekly"	18/12/2023	"38, 46,
02, 10,
18,
26 & 34"	"Derby -
Kettering - St
Panc - Mill Hill
Bway - Acton W
- Weyb - Byfleet
- Woking"	3Q10EL	MO	20.47	"DERBY
R.T.C.(NETWORK
RAIL)"	WOKING UP YARD RECP.	05.39	"UTU-
T"	RG
UTU072	"8 -
weekly"	29/01/2024	"44, 52,
08, 16,
24 &
32"	"Derby - Weaver
Jn - Carlisle"	3Q12FC	MO	22.41	"DERBY
R.T.C.(NETWORK
RAIL)"	CARLISLE A SIDING	06.08	"UTU-
T"	RG
UTU110	"8 -
weekly"	20/12/2023	"38, 02,
18 & 34"	"Doncaster West
Yard -
Doncaster -
Brocklesby -
Immingham -
Doncaster -
Doncaster West
Yard"	3Q13SC	WO	23.39	"DONCASTER
WEST YARD"	DONCASTER WEST YARD	04.45	"UTU-
T"	RG
