Oakham		
""		
Adjustments to Sectional Running Times		
Movement Down	Reason	Value
Approaching Oakham	"Slow speed entry to Langham Down Loop.Trains entering Langham Down Loop approachOakham at caution because of the signallingcontrols"	2
""		
Movement Up	Reason	Value
After Oakham approaching Manton Jn	"Slow speed turn–out Goods Loop to Main andassociated signalling controls"	"2 All trainsplanned touse the UpGoods Loop"
""		
Dwell Time		
DMU	1	
Langham Junction		
""		
Adjustments to Sectional Running Times		
""		
Movement Up	Reason	Value
Approaching Langham Jn	"Slow speed turn–out to Up Goods and‘approach control’"	"11⁄2 freighttrains only toUp GoodsLoop"
Ashwell LC		
""		
Adjustments to Sectional Running Times		
Movement Down	Reason	Value
To Whissendine	"For trains ex DGL at Langham – to be appliedapproaching Whissendine"	"1⁄2 Class 4400-800t(includingTR40)"
