""	MD545 KINGSBURY JN TO WHITACRE JN			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Kingsbury Jn to Whitacre Jn	5	5	
""	MD555 NUNEATON NORTH JN TO WATER ORTON EAST JN			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Nuneaton to Water Orton	3*	3*	"* Headway to be 4 minutes if following Class 6, 7 or8 traffic"
""	MD560 WATER ORTON WEST JN TO PARK LANE JN			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Water Orton West to Park Lane Jn	3	3	Single Line
""	MD565 CASTLE BROMWICH JN TO RYECROFT JN			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Castle Bromwich Jn to Park LaneJn"	4	31⁄2	Single Line
""	Park Lane Jn to Ryecroft Jn	5	5	
""	"MD570 SALTLEY LANDOR STREET JN TO KING’S NORTON JN (CAMP HILLLINES)"			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Landor Street Jn to St. Andrew’sJn"	AB+2	AB+2	TCB but timed as AB
""	St. Andrew’s Jn to Bordesley Jn	AB+2	AB+2	TCB but timed as AB
""	Bordesley Jn to Lifford East Jn	4	4	
""	Lifford East Jn to King’s Norton	AB+2	AB+2	TCB but timed as AB
""	MD575 ST. ANDREW’S JN TO GRAND JN			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	St. Andrew’s Jn to Grand Jn	3	3	
""	MD580 LIFFORD EAST JN TO LIFFORD WEST JN			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Lifford East Jn to Lifford West Jn	3	3	
