UTU040	"8 -
weekly"	15/01/2024	"42, 50,
06, 14,
22 &
30"	"Derby - MML -
St Pancs -
Liverpool St -
Stansted -
Cambridge"	3Q20SB	MO	21.22	"DERBY
R.T.C.(NETWORK
RAIL)"	CAMBRIDGE T.&R.S.M.D.	05.48	"UTU-
T"	RG
"UTU022
A &
UTU022
B"	"8 -
weekly"	26/01/2024	"43, 51,
07, 15,
23 &
31"	"Bristol
Kingsland Road
Level - Swindon
- Didcot -
Banbury - Derby
RTC"	3Q21SB	FO	22.27	"BRISTOL
KINGSLAND ROAD"	"DERBY R.T.C.(NETWORK
RAIL)"	09.32	"UTU-
T"	RG
UTU037	"8 -
weekly"	20/12/2023	"38, 47,
03, 11,
19, 27 &
35"	"Hither Green -
Victoria -
Balcombe -
Horsham Slows
- Hither Green"	3Q22BC	WO	20.25	"HITHER GREEN
P.A.D."	HITHER GREEN P.A.D.	05.28	"UTU-
T"	RG
"UTU016
N"	"8 -
weekly"	23/12/2023	"39, 48,
04, 12,
20,
28 & 36"	"Woking -
Basingstoke -
Woking and
MML Slow North
- Derby"	3Q26EM	SO	00.21	"WOKING UP YARD
RECP."	"DERBY R.T.C.(NETWORK
RAIL)"	09.31	"UTU-
T"	RG
UTU006	"8 -
weekly"	24/01/2024	"43, 51,
07, 15,
23 &
31"	"Derby - Crewe -
Liverpool -
Crewe -Tyseley"	3Q30SB	WO	22.44	"DERBY
R.T.C.(NETWORK
RAIL)"	TYSELEY L.M.D.	07.04	"UTU-
R"	RG
