EA1100 EAST GATE JUNCTION & HYTHE JUNCTION TO COLCHESTER TOWN			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"East Gate Junction & Hythe toColchester Town (excl)"	4*	4	"* A second train cannot pass/depart East GateJn or Hythe towards Colne Jn until the first trainhas arrived at Colchester Town"
EA1110 THORPE-LE-SOKEN JUNCTION TO WALTON-ON-THE-NAZE			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"Thorpe-le-Soken toKirby Cross (excl)"	AB+1	Single line. TCB plan as AB.	
"Kirby Cross (excl) toWalton-on-the-Naze"	AB+1	Single line. TCB plan as AB.	
EA1120 MANNINGTREE NORTH & SOUTH JUNCTIONS TO HARWICH TOWN			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"Manningtree toHarwich International Port"	4	4	
"Harwich International Port (excl)to Harwich Town"	One Train Working	Single line. TCB plan as OTW.	
EA1130 GRIFFIN WHARF BRANCH			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
Halifax Junction to Griffin Wharf	One Train Working	Single line. OTS.	
EA1140 IPSWICH DOCKS BRANCH			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"Ipswich Goods Junction toIpswich Lower Yard"	One Train Working	Single line.	
"EA1150 CHANNELSEA SOUTH JUNCTION TO STRATFORD CENTRAL JUNCTIONWEST"			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
"Channelsea South Junction toStratford Central Junction West"	3	3	
EA1160 BETHNAL GREEN EAST JUNCTION TO BISHOP’S STORTFORD			
TIMING POINTS INCLUDED	DOWN	UP	NOTES
Bethnal Green to Clapton Jn	2	2	"If there are two consecutive headways of 2minutes, the third consecutive headway must bea minimum of 21⁄2 minutes."
"Clapton Junction toBishop’s Stortford"	3*	3*	"Headway on Cambridge linesNot applicable to Lea Valley Reversible line* Trains may be planned to arrive/depart loopedplatforms at Broxbourne and Harlow Town withheadway of 2 minutes if in front/following a non-stopping service"
