""									
Watford Junction	
""	
Trains entering or leaving passenger service and continuing in same direction (inclusive of Dwell Time)	
"West Midlands Trains enteringservice"	2
"West Midlands Trains leavingservice"	3 (4-car EMU), 6 (8 car EMU), 9 (12 car EMU)
Watford North Jn		
""		
Adjustments to Sectional Running Times		
Movement Up	Reason	Value
"Timing Loads timed over 75mph pass Up Fastto Up Slow NOT stopping at Watford Junctionand/or Bushey"	Acceleration from lower speed crossover	{1⁄2}*
* Applies at next timing point after Watford Junction		
Kings Langley	
""	
Dwell Time	
Class 350 EMU	"1 Peak. Trains timetabled to arrive at London Euston between 07.00 and09.59 SX or timetabled to depart London Euston between 16.00 and 18.59SX"
Apsley	
""	
Dwell Time	
Class 350 EMU	"1 Peak. Trains timetabled to arrive at London Euston between 07.00 and09.59 SX or timetabled to depart London Euston between 16.00 and 18.59SX"
Hemel Hempstead	
""	
Connectional Allowance	"510 if a bus service"
""	
Dwell Time	
Class 350 EMU	1
