""	GW893 ONLLWYN TO NEATH & BRECON JUNCTION			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Onllwyn to Neath and BreconJunction"	0000 - 2400	0530-2230	1800 - 2400
""	"GW910 CRAVEN ARMS JUNCTION TO LLANDEILO JUNCTION (CENTRAL WALESLINE)"			
""	ROUTE SECTION	SX	SO	SUN
""				
""	Craven Arms to Pantyffynnon	0500 - 2130	0500 - 2130	1100 - 2200
""	Pantyffynnon to Morlais Junction	0500 - 2130	0500 - 2130	1100 - 2200
""	GW915 GWAUN-CAE-GURWEN TO PANTYFFYNNON			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Gwaun - Cae - Gurwen toPantyffynnon"	0500-2130*	0500-2130*	CLOSED
""	"* Level Crossings on this route shall normally only be operated between 0930 hours and 1500 hours Monday toFriday when trains have cause to pass. Where, in exceptional circumstance, it is necessary for the crossing to beoperated at other times, such additional precautions as are necessary shall be taken to ensure the safety ofcrossing users."			
""	NW3001 SALTNEY JUNCTION TO HOLYHEAD			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Saltney Junction to LlandudnoJunction"	Open continuously	Open continuously	"Open continuously fromMay to September &until 0550 and from1000 from December toMay & from Septemberto December"
""	Llandudno Junction to Bangor	Open continuously	Open continuously	"Open continuously fromMay to September &until 0550 and from0900 from December toMay & from Septemberto December"
""	Bangor to Holyhead	Open continuously	Open continuously	"Open continuously fromMay to September &until 0550 and from1000 from December toMay & from Septemberto December"
""	NW3007 WREXHAM CENTRAL TO NESTON			
""	ROUTE SECTION	SX	SO	SUN
""				
""	Wrexham Central to Neston	Open continuously	Open continuously	Open continuously
""	The following signal box is equipped to be switched–out.  Opening hours are:			
""		SX	SO	SUN
""	Penyffordd	0630 – 2130	0630 – 2130	"1200 – 2000 for TfWenhanced service tooperate"
