SC113 WINCHBURGH JUNCTION TO DALMENY JUNCTION					
Timing Section	Type	"LHHST22X"	MU	FRT	Remarks
""					
Down – Weekdays					
Approaching Dalmeny Junction	E	1	1		
Up – Weekdays					
Approaching Winchburgh Junction	E			5	
SC117 GRANGEMOUTH JUNCTION TO GRANGEMOUTH NR BOUNDARY					
Timing Section	Type	"LHHST22X"	MU#	FRT	Remarks
""					
Down – Weekdays					
""					
Up – Weekdays					
Approaching Fouldubs Junction	E			1	
""					
"# See note regarding EMUs at the beginning of Section 5.5"					
SC119 GREENHILL UPPER JUNCTION TO DUNDEE CENTRAL JUNCTION					
Timing Section	Type	"LHHST22X80X"	MU	FRT	Remarks
""					
Down – Weekdays					
Approaching Greenloaning	E	1	1		
Approaching Hilton Junction	E	1	1	1	"Applies to services terminating at Perth orto Inverness."
""	E		1		"Applies to services terminating at Dundee,Arbroath, Aberdeen, Dyce or Inverurie only"
"Approching Dundee CentralJunction"	E			1	
""	P		1		"SR services timed as 170  that have calledat Invergowrie"
Up – Weekdays					
Approaching Errol	P		1		"SR services timed as 170 that have calledat Invergowrie"
Approaching Dunblane	E	1	1		"Services from Aberdeen, Dundee andInverness"
"Carmuirs W Junction – GreenhillLower Junction"	E			3	"Allowance can be moved beyond GreenhillLower Junction to suit Junction working."
"# See note regarding EMUs at the beginning of Section 5.5"					
