""	Lenham Crossover		
""			
""	Adjustments to Sectional Running Times		
""	Movement Up	Reason	Value
""	"Up Eurostar Class 373/374 train from AshfordInternational"	Speed differential after Ashford West Junction	1
""			
""	Junction Margins	Margin	
""	All conflicting moves	3	
""	Charing Crossover		
""			
""	Junction Margins	Margin	
""	All conflicting moves		3
""	Ashford West Junction
""	
""	See entry under route SO470
""	Ashford International
""	
""	See entry under route SO130
""	Ashford East Junction
""	
""	See entry under route SO480
""	Westenhanger Crossover		
""			
""	Adjustments to Sectional Running Times		
""	Movement Down	Reason	Value
""	"Down Eurostar Class 373/374 train fromAshford International"	Speed Differential after Ashford East Junction	1
""			
""	Junction Margins	Margin	
""	All conflicting moves		3
""	(High Speed 1) Eurotunnel Boundary
""	
""	"RestrictionHandover times for all trains between Network Rail and Eurotunnel must always be on a whole minute"
