Type	Days	TID	Start Time	Origin	Destination
RHTT	SX	3S31	18:15	Gloucester Horton Rd	Gloucester Horton Rd
RHTT	SU	3S31	13:11	Gloucester Horton Rd	Worcester Shrub Hill
RHTT	FO	3S32	22:37	Gloucester Horton Rd	"Cheltenham LansdownLoop"
RHTT	FSX	3S32	22:37	Gloucester Horton Rd	"Cheltenham LansdownLoop"
RHTT	MO	3S32	00:31	Worcester Shrub Hill	Didcot Parkway
RHTT	SO	3S33	10:49	"Cheltenham LansdownLoop"	Gloucester Horton Rd
RHTT	MSX	3S33	11:08	"Cheltenham LansdownLoop"	Gloucester Horton Rd
RHTT	MO	3S33	05:23	Didcot Parkway	Gloucester Horton Rd
RHTT	FO	3S59	19:42	Bristol Kingsland Road	Bristol Kingsland Road
RHTT	MWTho	3S59	19:42	Bristol Kingsland Road	Bristol Kingsland Road
RHTT	SU	3S59	14:41	Bristol Kingsland Road	Bristol Kingsland Road
RHTT	TO	3S59	19:42	Bristol Kingsland Road	Bristol Kingsland Road
RHTT	TO	3S61	18:54	Margam T.C.	Margam T.C.
RHTT	FO	3S61	18:54	Margam T.C.	Margam T.C.
RHTT	MWO	3S61	18:54	Margam T.C.	Margam T.C.
RHTT	ThO	3S61	18:54	Margam T.C.	Margam T.C.
RHTT	SU	3S61	"16:5017:23"	Margam T.C.	Margam T.C.
RHTT	SO	3S62	01:43	Margam T.C.	Margam T.C.
RHTT	WO	3S62	"01:4301:23"	Margam T.C.	Margam T.C.
RHTT	TThO	3S62	"01:4301:23"	Margam T.C.	Margam T.C.
RHTT	FO	3S62	"01:4301:38"	Margam T.C.	Margam T.C.
RHTT	FO	3S71	"21:2021:13"	"Shrewsbury ColemanSS"	"Shrewsbury ColemanSS"
RHTT	MO	3S71	"21:2021:13"	"Shrewsbury ColemanSS"	"Shrewsbury ColemanSS"
RHTT	TWThO	3S71	"21:2021:13"	"Shrewsbury ColemanSS"	"Shrewsbury ColemanSS"
RHTT	SU	3S71	"19:4319:36"	"Shrewsbury ColemanSS"	"Shrewsbury ColemanSS"
