Section (3-Aspect)	Distance/length (Metres)
Distance GPL66 to GP6146	1482
Distance GP6146 to GP6144	1248
Overlap of GP6144	222
Train length	120
Total	3072
Section (2-Aspect)	Distance/length (Metres)
Distance GPU105 to GPU103	2222
Overlap of GPU103	251
Train length	120
Total	2593
