UTU071	"8 -
weekly"	29/12/2023	"39, 48,
04, 12,
20,
28 & 36"	"Crewe -
Manchester
Piccadilly -
Crewe - Derby"	3Q81SB	FO	23.48	"CREWE C.S.
(L&NWR SITE)"	"DERBY R.T.C.(NETWORK
RAIL)"	06.16	"UTU-
T"	RG
"UTU012
A &
UTU012
B"	"8 -
weekly"	29/01/2024	"44, 52,
08, 16,
24 &
32"	"Derby RTC -
Leics - Castle
Bromwich -
Birmingham -
Bristol
Kingsland Road
operates in
conjunction with
UTU012B"	3Z20DB	MO	21.22	"DERBY
R.T.C.(NETWORK
RAIL)"	"BRISTOL KINGSLAND
ROAD"	05.38	"UTU-
T"	RG
UTU115	"8 -
weekly"	30/01/2024	"44, 52,
08, 16,
24 &
32"	"Bristol
Kingsland Road
- Exeter - Bristol
- Cardiff Canton"	3Z22DA	TO	23.48	"BRISTOL
KINGSLAND ROAD"	CANTON PULLMANS	07.49	"UTU-
T"	RG
UTU118	"8 -
weekly"	01/02/2024	"44, 52,
08, 16,
24 &
32"	"Cardiff Canton -
Swansea -
Bristol
Kingsland Road"	3Z33DA	ThO	23.59	"CANTON
PULLMANS"	"BRISTOL KINGSLAND
ROAD"	"07.08
1⁄2"	"UTU-
T"	RG
