SO310 HITHER GREEN TO MAIDSTONE WEST (VIA SIDCUP)			
TIMING POINT	DOWN	UP	NOTES
""			
Hither Green – Lee	21⁄2*	21⁄2	"DOWN4 minutes if preceding freight isfrom Lee Spur Junction"
Lee – Crayford	"2 Non-Stopping *21⁄2 Stopping"	"2 Non-Stopping *21⁄2 Stopping"	"DOWN*21⁄2 Following FreightUP3 minutes if preceding traintravels towards Lee Spur Junction"
Crayford – Hoo Junction	"2 Non-Stopping21⁄2 Stopping"	"2 Non-Stopping21⁄2 Stopping"	
Hoo Junction - Strood	3*	"2 Non-Stopping *3 Stopping*"	*41⁄2 minutes Following Freight
Strood – Cuxton (inclusive)	"3 Non-Stopping4 Stopping"	"3 Non-Stopping4 Stopping"	
Cuxton (exclusive) - Aylesford	"4 Non-Stopping5 Stopping"	"4 1⁄2 Non-Stopping5 1⁄2 Stopping"	
"Aylesford – MaidstoneBarracks"	"3 1⁄2 Non-Stopping4 1⁄2 Stopping"	"3 1⁄2 Non-Stopping4 1⁄2 Stopping"	
"Maidstone Barracks –Maidstone West"	AB+2	AB+2	
""	SO310A LEE SPUR JUNCTION TO LEE LOOP JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Lee Spur Junction – Lee LoopJunction"	3	3	
""	SO310B CRAYFORD SPUR ‘A’ TO CRAYFORD SPUR ‘B’ JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Crayford Spur ‘A’ Junction –Crayford Spur ‘B’ Junction"	3	3	
SO310C STROOD TO ROCHESTER BRIDGE JUNCTION			
TIMING POINT	DOWN	UP	NOTES
""			
"Strood – Rochester BridgeJunction"	AB+1	AB+1	TCB to be planned as AB
