""	NW9009 MARPLE WHARF JN TO ROSE HILL				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Marple Wharf Jn	–	–		To/from Romiley – NW9007
""	Green Meadows Jn				"Single line from Green Meadows Jnto/from End of Line"
""	Rose Hill		–		
""	End of Line				6 chains from Rose Hill
""	NW9011 ROMILEY JN TO HYDE JN				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Romiley Jn				To/from Romiley – NW9007
""	Woodley Jn				To/from Bredbury Sidings – NW9013
""	Woodley	–	–		
""	Hyde Central	–	–	S	
""	Hyde North	–	–	S	
""	Hyde Jn	–	–		"Single lead into junctionTo/from Guide Bridge – NW5015"
""	NW9013 WOODLEY JN TO BREDBURY SIDINGS				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Woodley Jn				"Single line from Woodley Jn to/fromBredbury RTS/TilconTo/from Woodley – NW9011"
""	"Bredbury Refuse Transfer Siding(RTS)"		–	F	
""	Bredbury Tilcon		–	F	
""	NW9017 HAZEL GROVE HIGH LEVEL JN TO NORTHENDEN JN				
""	TIMING POINT	DOWN	UP	CODE	NOTES
""					
""	Hazel Grove High Level Jn	–			"Single line from Hazel Grove High Level Jnto/from Northenden JnTo/from New Mills South Jn – NW9001"
""	Cheadle Jn				
""	Northenden Jn		–		To/from Deansgate Jn – NW3023
