""
""
STANDARD VALUES – MINIMUM (APPLIES TO ALL ROUTES EXCEPT THOSE STARTING MD9XX)		
""		
Adjustment to Sectional Running Times		
Movements	Reason	Value
"Terminating trains arriving on half minutes in finaltiming link (except trains terminating at LiverpoolCentral and London Overground/LUL trainsterminating anywhere on MD120, MD137 or MD166)"	Station working	1⁄2
"CrossCountry schedules must depart from origin and terminate at destination on a whole minute. (This is due tolimitations with TOC Resourcing IT software called IntegraleFreight schedules must depart from origin on a whole minute. (This is due to TOPS requirements)"		
""		
Connectional Allowance	5	
""		
Attachment of Locomotives/Units		
Class/Type	Allowance	
Class 22x	7	
Class 80x	"7 (Avanti West Coast)8 (Transpennine Express)"	
DMU	"6, except:GWR Class 165/166 DMU, 5TfW Class 150/153/158/197, 5XC Class 170, 4"	
EMU	5	
Locomotive	10	
""		
Brake Testing		
"Running brake tests must be carried out at the first opportunity after beginning a journey/crew change. Theseallowances are not necessarily listed at individual timing points. Additional adjustment time to allow for runningbrake tests should be agreed between the respective Network Rail and Operator planners."		
""		
