""	"SO430 STRATFORD INTERNATIONAL WEST JUNCTION TO TEMPLE MILLSDEPOT"					
""	TIMING POINT	DOWN	UP	CODE	NOTES	
""						
""	Line codes on SO430 apply forward from the timing point against which they are shown					
""	"Stratford International WestJunction"	TPM	"DNCUPC"		"To/from York Way South Junction –SO400"	
""	Temple Mills Depot Reception	-	-		"Trains can be routed into any of 4reception sidings controlled by TempleMills Depot signaler"	
""	SO440 RIPPLE LANE EXCHANGE SIDINGS TO DAGENHAM JUNCTION					
""	TIMING POINT	DOWN	UP	CODE	NOTES	
""						
""	Line codes on SO440 apply forward from the timing point against which they are shown					
""	Ripple Lane Exchange Sidings	"DDGUDG"	-	F S	"To/from Ripple Lane Renwick RoadJunction –Refer to East Anglia TimetablePlanning Rules – EA1390"	
""	Dagenham Junction	"DNCUPC"	"DDGUDG"		To/from Ebbsfleet West Junction – SO400	
""	SO450 EBBSFLEET WEST JUNCTION TO SPRINGHEAD ROAD JUNCTION					
""	TIMING POINT	DOWN	UP	CODE	NOTES	
""						
""	Line codes on SO450 apply forward from the timing point against which they are shown					
""	Ebbsfleet West Junction	5 6	"DNCUPC"		To/from Dagenham Junction – SO400	
""	Ebbsfleet International	"NKDSD1 SD2"	"DNCUPC"		Platform detail must be shown	
""	Church Path Pit Sidings	-	5 6	S		
""	Springhead Road Junction	-	5 6		To/from Gravesend – SO310	
""	SO460 FAWKHAM JUNCTION TO SOUTHFLEET JUNCTION					
""	TIMING POINT	DOWN	UP	CODE	NOTES	
""						
""	Line codes on SO460 apply forward from the timing point against which they are shown					
""	Fawkham Junction	-	-		To/from Farningham Road – SO110	
""	Southfleet Junction	"DNCUPC"	UPW		To/from Southfleet Crossovers – SO400	
""	"SO470 ASHFORD WEST JUNCTION (AD947 AND AD949 SIGNALS) TO ASHFORDINTERNATIONAL"					
""	TIMING POINT	DOWN	UP	CODE	NOTES	
""						
""	Line codes on SO470 apply forward from the timing point against which they are shown					
""	Ashford West Junction	"DWCUWC"	"DNCUPC"		"CTRL TIPLOC to be usedTo/from Charing Crossover – SO400To/from Ashford International Station –SO130"	
