SW110 WOKING JUNCTION TO PORTSMOUTH HARBOUR				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
"Portsmouth & Southsea BackRoad"	BKR	BKR  -	S	
Portsmouth & Southsea D.C.H.S		BKR	S	
Portsmouth and Southsea	-	"UMLUDLBKR"		Platform detail must be shown
Portsmouth Harbour		-		Platform detail must be shown
