Classification	Description
0K**	KRUPP locomotives travelling Light Engine
1C**	High Speed services from St .Pancras to Ramsgate via Faversham
1F**	High Speed services from St .Pancras to Faversham
1J**	High Speed services from St .Pancras to Margate via Canterbury West
1L**	High Speed services from St .Pancras to Dover Priory or Ramsgate via Folkestone Central
1T**	High Speed services from St .Pancras to and from Maidstone West
