"LH/HST/22x/80X"	"Refers to non-freight locomotive hauled trains and all trains capable of running over 100 mph.Performance allowance does not apply to empty coaching stock moves and freight services"
MU/LL	"Refers to all forms of multiple unit, whether diesel or electric as well as to light locomotives, notcapable of running at over 100 mph. Performance allowance does not apply to light locomotives"
Cl 4	Refers to locomotive hauled Class 4 freight trains
Cl 6	Refers to locomotive hauled Class 6 freight trains
