""	Whitacre Jn		
""			
""	Junction Margins		
""	First Movement	Second Movement	Margin
""	Train arriving at Daw Mill Colliery	Train passing Whitacre Jn towards Nuneaton	2
""	"Passenger train passing Whitacre Jn towardsNuneaton"	"Train departing Daw Mill Colliery towardsNuneaton"	5
""	"Freight train passing Whitacre Jn towardsNuneaton"	"Train departing Daw Mill Colliery towardsNuneaton"	6
""	"Freight train that has departed Hams Hallpassing Whitacre Jn towards Nuneaton"	"Train departing Daw Mill Colliery towardsNuneaton"	8
""	Train passing Whitacre Jn towards Water Orton	"Train departing Daw Mill Colliery towardsWhitacre Jn"	1
""	Coleshill Parkway		
""			
""	Adjustments to Sectional Running Times		
""	Movement Down	Reason	Value
""	"Exit from Hams Hall reception lines towardsWater Orton"	"Acceleration after slow speed crossover atColeshill Parkway (20mph)"	"Freight 2approachingnext timingpoint"
""			
""	Movement Up	Reason	Value
""	"Entry to Hams Hall reception lines from WaterOrton direction"	Approach control	Freight 2
""			
""	Dwell Time		
""	Class 170	1	
""	Water Orton
""	
""	See entry under route MD501 Tamworth (inclusive) to Birmingham Proof House Junction
""	"MD570 SALTLEY LANDOR STREET JN TO KINGS NORTON JN (CAMP HILLLINES)"
""	
""	Landor Street Jn
""	
""	See entry under route MD501 Tamworth (inclusive) to Birmingham Proof House Jn
""	St. Andrew’s Jn		
""			
""	Adjustments to Sectional Running Times		
""	Movement Up	Reason	Value
""	"Class 22x from Proof House Jn on the StourLines crossing at Grand Jn to the Up and DownCamp Hill"	Approach Control	1⁄2
