UTU039	"8 -
weekly"	22/01/2024	"43, 51,
07, 15,
23 &
31"	"Derby - Banbury
- Didcot -
Paddington -
Reading"	3Q40SC	MO	21.49	"DERBY
R.T.C.(NETWORK
RAIL)"	"READING TRIANGLE
SIDINGS"	05.40	"UTU-
T"	RG
"UTU065
A"	"8 -
weekly"	11/01/2024	"42, 49,
05, 13,
21 & 29"	"Hither Green -
Rochester -
Charing X -
Orpington Fasts
- Hither Green"	3Q41BB	ThO	19.57	"HITHER GREEN
P.A.D."	HITHER GREEN P.A.D.	05.23	"UTU-
T"	RG
UTU048	"8 -
weekly"	17/01/2024	"42, 49,
05, 13,
21 &
29"	"Hither Green -
Swanley -
Ashford -
Ramsgate -
Swanley - Hither
Green"	3Q43BA	WO	21.58	"HITHER GREEN
P.A.D."	HITHER GREEN P.A.D.	05.49	"UTU-
T"	RG
"UTU065
B &
UTU065
C"	"8 -
weekly"	12/01/2024	"41, 48,
04, 12,
20,
28 & 36"	"Hither Green -
Lewisham -
Dartford -
Cannon Street -
Hither Green"	3Q44BB	FO	21.21	"HITHER GREEN
P.A.D."	HITHER GREEN P.A.D.	07.07	"UTU-
R"	RG
UTU064	"8 -
weekly"	11/01/2024	"41, 48,
04, 12,
20,
28 & 36"	"Hither Green -
Swanley -
Ramsgate -
Ashford -
Swanley - Hither
Green"	3Q45BA	ThO	23.16	"HITHER GREEN
P.A.D."	HITHER GREEN P.A.D.	05.31	"UTU-
R"	RG
