""	"SO240 BUCKLAND JUNCTION TO MINSTER EAST JUNCTION(VIA DEAL AND SANDWICH)"			
""	TIMING POINTDOWNUPNOTES			
""				
""	"Buckland Junction (inclusive)  –Martin Mill (exclusive)"	"7 Non-Stopping8 Stopping"	"6 Non-Stopping7 Stopping"	"No pathing time to be added withinthese sections"
""	"Martin Mill (inclusive) – Deal(exclusive)"	"6 Non-Stopping7 Stopping"	"7 Non-Stopping8 Stopping"	"No pathing time to be added withinthese sections"
""	"Deal (inclusive) – Sandwich(exclusive)"	AB+2	AB+2	
""	"Sandwich (inclusive)  – MinsterSouth Junction (exclusive)"	AB+2	AB+2	
""	"Minster South Junction(inclusive)  - Minster East Junction(exclusive)"	4	4	
""	SO240A MINSTER WEST JUNCTION TO MINSTER SOUTH JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Minster West Junction – MinsterSouth Junction"	4	4	
""	SO250 FACTORY JUNCTION TO MITRE BRIDGE JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	For Route SO250 Please see Sussex Timetable Planning Rules			
""	SO250A GROSVENOR BRIDGE JUNCTION TO FACTORY JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	For Route SO250A Please see Sussex Timetable Planning Rules			
""	SO250B BATTERSEA PIER JUNCTION TO LONGHEDGE JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	For Route SO250B Please see Sussex Timetable Planning Rules			
""	SO250C LONGHEDGE JUNCTION TO POUPARTS JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	For Route SO250C Please see Sussex Timetable Planning Rules			
""	SO250D FALCON JUNCTION TO LATCHMERE JUNCTION (NO 1)			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	For Route SO250D Please see Sussex Timetable Planning Rules			
""	SO260 BRIXTON JUNCTION TO SHORTLANDS JUNCTION (CATFORD LOOP)			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Brixton Junction – Crofton	2 Non-Stopping *	3*	DOWN
