STANDARD VALUES – MINIMUM	
""	
Attachment of Locomotives/Units	
Class 150 DMU	5
Class 153 DMU	5
Class 158 DMU	2
Class 158 DMU (GWR Services)	5
Class 159 DMU	2
Class 165/166 DMU	4
Class 22x DEMU	7
Class 377 EMU	4
Class 387 EMU	4
Class 444 EMU	4
Class 450 EMU	4
Class 455 EMU	2
Class 458 EMU	5
Class 701	4
Class 707	4
""	
Connectional Allowance	5 minutes
""	
Detachment of Locomotives/Units:	
Class 150 DMU	4
Class 153 DMU	4
Class 158 DMU	2
Class 158 DMU (GWR Services)	4
Class 159 DMU	2
Class 165/166 DMU	4
Class 22x DEMU	7
Class 377 EMU	4
Class 387 EMU	4
Class 444 EMU	4
Class 450 EMU	4
Class 455 EMU	2
Class 458 EMU	5
Class 701	4
Class 707	4
""	
