""	"MD355 LICHFIELD TRENT VALLEY JN TO LICHFIELD TRENT VALLEY (CHORDLINE)"			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Lichfield Trent Valley Jn toLichfield Trent Valley"	"Open from 0600Monday"	"0001 – 06001815 – 0015 (Sun)"	0730-1230
""	"MD726 AYLESBURY TO CLAYDON WEST JNMD725 AYLESBURY TO CLAYDON L&NE JN"			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Aylesbury to Aylesbury ValeParkway"	Open continuously	Open continuously	Open continuously
""	"Aylesbury Vale Parkway toQuainton Road"	"Open as required fortraffic"	"Open as required fortraffic"	"Open as required fortraffic"
""	"Quainton Road to Claydon WestJn(via Calvert)"	Temporarily out of use	Temporarily out of use	Temporarily out of use
""	MD736 OXFORD NORTH JN (EXCLUSIVE) TO DENBIGH HALL SOUTH JN			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Oxford North Jn to OxfordParkway"	Open continuously	Open continuously	Open continuously
""	"Oxford Parkway to BicesterGavray Jn"	Open continuously	Open continuously	Open continuously
""	"Bicester Gavray Jn to DenbighHall South Jn"	Temporarily out of use	Temporarily out of use	Temporarily out of use
""	MD910 PERSHORE (INCLUSIVE) TO NORTON JN			
""	ROUTE SECTION	SX	SO	SUN
""				
""	Evesham SB to Norton Jn	0515 – 0010	0515 – 0010	0900 - 0010
""	MD940 WORCESTER SHRUB HILL TO SHELWICK JN			
""	ROUTE SECTION	SX	SO	SUN
""				
""	Worcester Shrub Hill to Henwick	Continuous	Continuous	"00:10 (closes)08:00 (opens)"
""	Henwick to Newland East	0510 – 0000	0510 – 0000	0830 – 2335
""	Newland East to Malvern Wells	0510 – 0000	0510 – 0000	0830 – 2330
""	Malvern Wells to Ledbury	0500 – 2350	0500 – 2350	0830 – 2330
""	Ledbury to Shelwick Jn	0450 – 2340	0450 – 0000	1210 – 2325
