""	SO110 LONDON VICTORIA TO RAMSGATE (VIA HERNE HILL AND CHATHAM)		
""	Line/Location	Section	Remarks
""	Factory Junction	"From Longhedge Junctionto Atlantic/Chatham Lines"	Critical times SX 07.00-09.45, 16.00 – 19.00
""	SO130 LONDON CHARING CROSS TO DOVER PRIORY (VIA TONBRIDGE)		
""	Line/Location	Section	Remarks
""	Saltwood Junction	"Northbound from DollandsMoor"	Critical times SX 06.00-08.30
""	SO130D ST JOHNS JUNCTION TO LEWISHAM JUNCTION		
""	Line/Location	Section	Remarks
""	Lewisham	Lewisham Junction	Critical times SX 0700-09.30, 16.30-19.00 All Directions
""	SO130H SALTWOOD JUNCTION TO RT/ET BOUNDARY		
""	Line/Location	Section	Remarks
""	Saltwood Junction	"Northbound from DollandsMoor"	Critical times SX 06.00-08.30
""	SO250 FACTORY JUNCTION TO MITRE BRIDGE JUNCTION		
""	Line/Location	Section	Remarks
""	For Route SO250 Please see Sussex Timetable Planning Rules		
""	SO250A GROSVENOR BRIDGE JUNCTION TO FACTORY JUNCTION		
""	Line/Location	Section	Remarks
""	For Route SO250A Please see Sussex Timetable Planning Rules		
""	SO250D FALCON JUNCTION TO LATCHMERE JUNCTION (NO 1)		
""	Line/Location	Section	Remarks
""	For Route SO250D Please see Sussex Timetable Planning Rules		
