EA1480	Whitlingham Junction to Cromer
EA1490	Cromer to Sheringham
EA1500	Brundall Junction to Yarmouth
EA1510	Reedham Junction to Yarmouth
EA1520	Saxmundham Junction to Sizewell
EA1530	Coldham Lane Junction to Haughley Junction
EA1540	Chippenham Junction to Ely Dock Junction
EA1550	Ely North Junction to Ely West Junction (Ely West Curve)
EA1560	Ely North Junction to Kings Dyke (inclusive)
EA1570	March East & West Junctions to Wisbech
EA1580	Ely North Junction to Trowse Junction
EA1744	Boss Hall Junction to Europa Junction – Bacon Factory Curve
