UTU107	"8 -
weekly"	19/01/2024	"42, 50,
06, 14,
22 &
30"	"Colchester -
Ipswich -
Felixstowe -
Liverpool Street
- Derby"	3Q66SB	FO	22.53	"COLCHESTER
RECEPTION LINE"	"DERBY R.T.C.(NETWORK
RAIL)"	08.16	"UTU-
T"	RG
UTU067	"8 -
weekly"	02/01/2024	"40, 48,
04, 12,
20,
28 & 36"	"Derby - WCML
Rugby - Milton
Keynes - Rugby"	3Q68SB	MO	21.22	"DERBY
R.T.C.(NETWORK
RAIL)"	"RUGBY DEPOT ACCESS
LINE"	05.52	"UTU-
T"	RG
UTU068	"8 -
weekly"	03/01/2024	"40, 48,
04, 12,
20,
28 & 36"	"Rugby - WCML
Milton Keynes -
Euston - Rugby"	3Q69SB	TO	21.24	"RUGBY DEPOT
ACCESS LINE"	"RUGBY DEPOT ACCESS
LINE"	08.02	"UTU-
T"	RG
UTU069	"8 -
weekly"	04/01/2024	"40, 48,
04, 12,
20,
28 & 36"	"Rugby - WCML
South Rugby -
Lichfield - Derby"	3Q70SD	WO	23.05	"RUGBY DEPOT
ACCESS LINE"	"DERBY R.T.C.(NETWORK
RAIL)"	07.32	"UTU-
T"	RG
UTU070	"8 -
weekly"	28/12/2023	"39, 48,
04, 12,
20,
28 & 36"	"Derby - WCML
South - Lichfield
- Crewe"	3Q71SB	ThO	22.37	"DERBY
R.T.C.(NETWORK
RAIL)"	CREWE C.S. (L&NWR SITE)	06.37	"UTU-
T"	RG
