Abbreviation	Description
8	No.8 Down
9	No.9 Reversible
10	No.10 Reversible
11	No.11 Reversible
AL	Atlantic Lines
BRV	Brighton Reversible
BRV	Bermondsey Reversible
CR	Carriage Road
DBA	Down Battersea
DBF	Down Brighton Fast
DBS	Down Brighton Slow
DCP	Down Crystal Palace
DFL	Down Fast Line
DHL	Down St Helier
DKL	Down Kensington
DLH	Down Loop
DML	Down Main
DPL	Down Passenger Loop
DSL	Down South London Line
DW	Down Wallington
DWL	Down West London
FL	Fast Line
GL	Goods Line
LRV	South London Reversible
QL	Quarry Line
REV	Reversible
RVF	Reversible Fast Line
RVL	Reversible Line
RVS	Reversible Slow Line
SL	Slow Line
SPR	Spur Line
SRV	Sussex Reversible
UBA	Up Battersea
UBF	Up Brighton Fast
UBM	Up Bermondsey Spur
UBS	Up Brighton Slow
UCP	Up Crystal Palace
UKL	Up Kensington
ULH	Up Loop
ULS	Up South London
UML	Up Main
UPL	Up Platform Loop
UPV	Up Passenger Loop
UHL	Up St Helier
USL	Up Slow Line
UW	Up Wallington
UWL	Up West London
UXL	Up Sussex Loop
WCR	West Carriage Road
