""	Denbigh Hall South Jn			
""				
""	Pass Up Slow to Bletchley (Passenger)	"Pass from East West Rail to Down Slow(Freight)"	41⁄2	
""	Pass Up Slow to Bletchley (Freight)	5		
""	"Pass from East West Rail to Down Slow(Passenger)"	Pass Up Slow to Bletchley	31⁄2	
""	"Pass from East West Rail to Down Slow(Freight)"	Pass Up Slow to Bletchley	4	
""	Pass to Bletchley Carriage Sidings	"Pass from East West Rail to Down Slow(Passenger)"	4	
""	"Pass from East West Rail to Down Slow(Freight)"	6		
""	"Pass from East West Rail to Down Slow(Passenger)"	Pass to Bletchley Carriage Sidings	4	
""	"Pass from East West Rail to Down Slow(Freight)"	41⁄2		
""	Pass from Bletchley Carriage Sidings	Pass Up Slow to Bletchley	31⁄2	
""	Pass Up Slow to Bletchley	Pass from Bletchley Carriage Sidings	41⁄2	
""	Denbigh Hall North Jn		
""			
""	Adjustments to Sectional Running Times		
""	Movement Down	Reason	Value
""	"Down Slow to Down Fast (Bletchley to DenbighHall North Jn)"	Differential Junction speed	1
""			
""	Movement Up	Reason	Value
""	"Up Fast to Up Slow (Denbigh Hall North Jn toBletchley)"	Differential Junction speed	2
