SW240A NEW KEW JUNCTION TO KEW EAST JUNCTION				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
New Kew Junction	-	-	X	"Timing point for trains to/from Kew EastJunction.To/from Chiswick - SW230"
Kew East Junction	-	-		"Regional handover timing pointTo/from South Acton – Refer to AngliaTimetable Planning Rules – EA1330"
SW245 TWICKENHAM JUNCTION TO SHACKLEGATE JUNCTION				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Twickenham Junction	-	FL  SL	X	"Timing point for all Up Trains, also Downtrains via Twickenham platforms 3 or 4To/from Twickenham - SW210"
Strawberry Hill Sig. 2457	-		S	
Strawberry Hill	-	-		Platform detail must be shown
Strawberry Hill Junction				To/from Fulwell Junction - SW245A
Strawberry Hill C.S.D.		-	S	ECS moves only
Shacklegate Jn Signal 2467	-		S	
Shacklegate Junction	-	-		To/from Teddington - SW190
SW245A STRAWBERRY HILL JUNCTION TO FULWELL JUNCTION				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Strawberry Hill Junction	-	-		To/from Strawberry Hill - SW245
Fulwell Signal 2513	-		S	
Fulwell Junction	-	-		To/from Fulwell - SW190
SW250 STAINES TO WINDSOR & ETON RIVERSIDE				
TIMING POINT	DOWN	UP	CODE	NOTES
""				
Staines	-	-		"Platform detail must be shown.To/from Ashford - SW210"
Staines Signal BEF2602		-	S	
Staines Signal BEF2607	-		S	
Staines Signal BEF2606		-	S	Shunt moves only
Staines Signal BEF2608		-		Timing point for all Up trains.
Wraysbury	-	-		"Timing point for all Down trains and Upstopping trains."
Sunnymeads	-	-		"Timing point for all Up trains and Downstopping trains."
Datchet	-	-		
Windsor & Eton Signal 2631	-		S	Shunt moves only
Windsor & Eton Riverside		-		Platform detail must be shown
