""	SO260 BRIXTON JUNCTION TO SHORTLANDS JUNCTION (CATFORD LOOP)			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Road Junction	3 Stopping		"3 Following FreightUP*3 Following Freight"
""	"Crofton Road Junction –Shortlands Junction"	"21⁄2 Non-Stopping *3 Stopping"	"2 Non-Stopping **3 Stopping"	"*DOWN3 Following Freight**UP3 Following Freight"
""	SO280 FARRINGDON TO HERNE HILL			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	Farringdon – London Blackfriars	21⁄2	21⁄2	"Trains through the Thameslink Core areplanned on a depart to depart headwaywith a 1 minutes dwell included."
""	"London Blackfriars - SouthwarkBridge Junction"	2	2	
""	"Southwark Bridge Junction -Herne Hill"	3	"2* Non-Stopping3 Stopping"	*Up Holborn to Up Holborn Slow only
""	SO280A LONDON BLACKFRIARS TO METROPOLITAN JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"London Blackfriars – MetropolitanJunction"	21⁄2	21⁄2	
""	"ETCS Level 2 operating within GTR trains will normally be operatational between Blue Anchor Junction andBlackfriars Junction via the Snow Hill Lines and lines 4 & 5. Special operational arrangements will need to applyfor trains taking alternative routes between these locations. A 2 1⁄2 minute headway is therefore allowed betweenconsecutive trains operated by ETCS compatible rolling stock"			
""	SO280B LOUGHBOROUGH JUNCTION TO CAMBRIA JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Loughborough Junction – CambriaJunction"	21⁄2	21⁄2	
""	SO280C LOUGHBOROUGH JUNCTION TO CANTERBURY ROAD JUNCTION			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	"Loughborough Junction –Canterbury Road Junction"	21⁄2	21⁄2	
""	"SO290 NORTH KENT EAST JUNCTION TO DARTFORD JUNCTION (VIAGREENWICH)"			
""	TIMING POINT	DOWN	UP	NOTES
""				
""	North Kent East Junction –	21⁄2	2 Non-Stopping	
