""	Southampton Central	
""	"Up Train from Down Loop to Platforms 1/2/3/4 orDown Train to Down loop from Platforms 1/2/3/4"	Up Train approaching signal E740 on Down Fast Line
""	"Note: The following routes are approach controlled:Down Direction:* Platform 4 to routes other than Down Fast* Platform 3 to routes other than Down Slow* Platform 1 to routes other than Up FastUp Direction:* Up Fast to routes other than Platform 1* Up Slow to routes other than Platform 2* Down Fast to routes other than Platform 4"	
""	Southampton Up Goods Loop	
""		
""	Permissive Working for attaching/detaching and Platform sharing is authorised as shown below:-	
""	Sharing, attaching and detaching is permitted	
""		
""	Berthing Facilities	
""		Cars
""	Up Goods Loop	12
""	Southampton Down Loop		
""			
""	Junction Margins		
""	First Movement	Second Movement	Margin
""	"Down Fast train passes Church Lane Junctiontowards Redbridge"	"Depart Down Loop towards Church LaneJunction via Down Fast"	1
""			
""	Restrictions		
""	Passenger trains are not able to be divided in the Down Loop		
""	"Locomotive hauled trains can only run round in the Down Loop when arriving from and departing towardsMillbrook"		
""	Millbrook		
""			
""	Junction Margins		
""	First Movement	Second Movement	Margin
""	"Down Freight passes Millbrook from Down Fasttowards Up Docks Branch/Maritime Back Road"	Down Fast train passes Church Lane Junction	41⁄2
""	Down train passes to Maritime Back Road	Up train departs Dock Exit	3
""	Down Fast train passes Church Lane Junction	"Up train departs from E850 Signal on Up DocksBranch to Down Fast"	1
""	Down train from UFL to Millbrook FLT	"Up train passes Church Lane Junction to UpFast"	7
""	Down train from UFL to Millbrook FLT	"Up train departs Maritime East Junction to UpFast"	6*
""	* Based on departure time of second train from Maritime East Junction.		
""			
""	Limit of Shunt		
