1st Move	2nd Move >>>																													
""	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr
""	1 S	2 S	3 S	4 S	5 S	"5S2"	"5ML"	6 S	"6S2"	"6ML"	7 S	"7S2"	"7ML"	8 S	"8S2"	"8ML"	9 S	"9S2"	"9ML"	"10S"	"10ML"	"11ML"	"12ML"	"13ML"	"13EL"	"14ML"	"14EL"	"15EL"	"16EL"	"17EL"
""					S1			S1			S1			S1			S1													
Arr 1 S	2	2	2	2	2	2	P	2	2	P	2	2	P	2	2	P	2	2	P	2	P	P	P	P	P	P	P	P	P	P
Arr 2 S	2	2	2	2	2	2	P	2	2	P	2	2	P	2	2	P	2	2	P	2	P	P	P	P	P	P	P	P	P	P
Arr 3 S	2	2	2	2	2	2	P	2	2	P	2	2	P	2	2	P	2	2	P	2	P	P	P	P	P	P	P	P	P	P
Arr 4 S	2	2	2	2	2	2	P	2	2	P	2	2	P	2	2	P	2	2	P	2	P	P	P	P	P	P	P	P	P	P
Arr 5 S / S1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	P	P	P
Arr 5 S2	2	2	2	2	2	2	2	2	2	Px	2	2	Px	2	2	Px	2	2	Px	2	Px	P	P	P	P	P	P	P	P	P
Arr 5 ML	P	P	P	P	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	2	P	P	P	P
Arr 6 S / S1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	P	P	P
Arr 6 S2	2	2	2	2	2	2	2	2	2	2	2	2	Px	2	2	Px	2	2	Px	2	Px	P	P	P	P	P	P	P	P	P
Arr 6 ML	P	P	P	P	2	Px	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	2	P	P	P	P
Arr 7 S / S1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	P	P	P
Arr 7 S2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Px	2	2	Px	2	Px	P	P	P	P	P	P	P	P	P
Arr 7 ML	P	P	P	P	2	Px	2	2	Px	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	2	P	P	P	P
Arr 8 S / S1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	P	P	P
Arr 8 S2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Px	P	P	P	P	P	P	P	P	P
Arr 8 ML	P	P	P	P	2	Px	2	2	Px	2	2	Px	2	2	2	2	2	2	2	2	2	2	2	2	P	2	P	P	P	P
Arr 9 S / S1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	P	P	P
Arr 9 S2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Px	P	P	P	P	P	P	P	P	P
Arr 9 ML	P	P	P	P	2	Px	2	2	Px	2	2	Px	2	2	2	2	2	2	2	2	2	2	2	2	P	2	P	P	P	P
Arr 10 S	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	P	P	P	P	P	P	P	P	P
Arr 10 ML	P	P	P	P	2	Px	2	2	Px	2	2	Px	2	2	Px	2	2	Px	2	2	2	2	2	2	P	2	P	P	P	P
Arr 11 ML	P	P	P	P	P	P	2	P	P	2	P	P	2	P	P	2	P	P	2	P	2	2	2	2	P	2	P	P	P	P
Arr 12 ML	P	P	P	P	P	P	2	P	P	2	P	P	2	P	P	2	P	P	2	P	2	2	2	2	P	2	P	P	P	P
Arr 13 ML	P	P	P	P	P	P	2	P	P	2	P	P	2	P	P	2	P	P	2	P	2	2	2	2	2	2	2	P	P	P
Arr 13 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	2	2	2	2	2	2	2
Arr 14 ML	P	P	P	P	P	P	2	P	P	2	P	P	2	P	P	2	P	P	2	P	2	2	2	2	2	2	2	P	P	P
Arr 14 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	2	2	2	2	2	2	2
Arr 15 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	2	P	2	2	2	2
Arr 16 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	2	P	2	2	2	2
Arr 17 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	2	P	2	2	2	2
