1st Move	2nd Move >>>																													
""	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr	Arr
""	1 S	2 S	3 S	4 S	5 S	"5S2"	"5ML"	6 S	"6S2"	"6ML"	7 S	"7S2"	"7ML"	8 S	"8S2"	"8ML"	9 S	"9S2"	"9ML"	"10S"	"10ML"	"11ML"	"12ML"	"13ML"	"13EL"	"14ML"	"14EL"	"15EL"	"16EL"	"17EL"
""					S1			S1			S1			S1			S1													
Dep 1 S	3	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
Dep 2 S	3	3	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
Dep 3 S	3	3	3	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
Dep 4 S	3	3	3	3	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
Dep 5 S	3	3	3	3	3	3	4	Px	3	Px	Px	3	Px	Px	3	Px	Px	3	Px	Px	Px	P	P	P	P	P	P	P	P	P
"Dep 5 ML /ML1"	P	P	P	P	3	3	4	3	3	Px	3	3	Px	3	3	Px	3	3	Px	3	Px	P	P	P	P	P	P	P	P	P
Dep 5 ML2	P	P	P	P	3	3	4	3	3	4	3	3	4	3	3	4	3	3	4	3	4	P	P	P	P	P	P	P	P	P
Dep 6 S	3	3	3	3	3	3	4	3	3	4	Px	3	Px	Px	3	Px	Px	3	Px	Px	Px	P	P	P	P	P	P	P	P	P
"Dep 6 ML /ML1"	P	P	P	P	3	3	4	3	3	4	3	3	Px	3	3	Px	3	3	Px	3	Px	P	P	P	P	P	P	P	P	P
Dep 6 ML2	P	P	P	P	3	Px	4	3	3	4	3	3	4	3	3	4	3	3	4	3	4	P	P	P	P	P	P	P	P	P
Dep 7 S	3	3	3	3	3	3	4	3	3	4	3	3	4	Px	3	Px	Px	3	Px	Px	Px	P	P	P	P	P	P	P	P	P
"Dep 7 ML /ML1"	P	P	P	P	3	3	4	3	3	4	3	3	4	3	3	Px	3	3	Px	3	Px	P	P	P	P	P	P	P	P	P
Dep 7 ML2	P	P	P	P	3	Px	4	3	Px	4	3	3	4	3	3	4	3	3	4	3	4	P	P	P	P	P	P	P	P	P
Dep 8 S	3	3	3	3	3	3	4	3	3	4	3	3	4	3	3	4	3	3	4	Px	Px	P	P	P	P	P	P	P	P	P
Dep 8 ML1	P	P	P	P	3	3	4	3	3	4	3	3	4	3	3	4	3	3	4	3	Px	P	P	P	P	P	P	P	P	P
"Dep 8 ML /ML2"	P	P	P	P	3	Px	4	3	Px	4	3	Px	4	3	3	4	3	3	4	3	4	P	P	P	P	P	P	P	P	P
Dep 9 S	3	3	3	3	3	3	4	3	3	4	3	3	4	3	3	4	3	3	4	Px	Px	P	P	P	P	P	P	P	P	P
Dep 9 ML1	P	P	P	P	3	3	4	3	3	4	3	3	4	3	3	4	3	3	4	3	Px	P	P	P	P	P	P	P	P	P
"Dep 9 ML /ML2"	P	P	P	P	3	Px	4	3	Px	4	3	Px	4	3	3	4	3	3	4	3	4	P	P	P	P	P	P	P	P	P
Dep 10 S*	3	3	3	3	3	3	4	3	3	4	3	3	4	3	3	4	3	3	4	3	4	P	P	P	P	P	P	P	P	P
Dep 10 ML	P	P	P	P	3	Px	4	3	Px	4	3	Px	4	3	Px	4	3	Px	4	3	4	P	P	P	P	P	P	P	P	P
Dep 11 ML	P	P	P	P	P	P	4	P	P	4	P	P	4	P	P	4	P	P	4	P	4	3	P	P	P	P	P	P	P	P
Dep 12 ML	P	P	P	P	P	P	4	P	P	4	P	P	4	P	P	4	P	P	4	P	4	3	3	P	P	P	P	P	P	P
Dep 13 ML	P	P	P	P	P	P	4	P	P	4	P	P	4	P	P	4	P	P	4	P	4	3	3	3	3	P	P	P	P	P
Dep 13 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	3	3	3	P	P	P	P
Dep 14 ML	P	P	P	P	P	P	4	P	P	4	P	P	4	P	P	4	P	P	4	P	4	3	3	3	3	3	3	P	P	P
Dep 14 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	3	3	3	P	P	P
Dep 15 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	3	P	3	3	P	P
Dep 16 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	3	P	3	3	3	3
Dep 17 EL	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	3	P	3	3	3	3
