SW170A WILTON JUNCTION G.S.P. TO QUIDHAMPTON SIDINGS
""
Wilton Junction G.S.P.
""
See entry under route – SW170
SW175 CASTLE CARY TO DORCHESTER JUNCTION		
""		
Yeovil Pen Mill		
""		
Adjustment to Sectional Running Times		
Movement	Reason	Value
Down passenger trains routed via Platform 1	Speed Differential	{2}
""		
Connectional Allowance	60	
Connectional allowance between Yeovil Junction and Yeovil Pen Mill		
""		
Dwell Times		
"All train classes to or from MaidenNewton, including test trains"	2	
""		
Junction Margins		
First Movement	Second Movement	Margin
Between all movements except as below		4
"Reoccupation of single line towards YeovilJunction/ Maiden Newton"		4
"Reoccupation of single line towards CastleCary"		1
Arrival of first train	Arrival of second train	3
""		
Simultaneous Moves Not Permitted		
Down train arriving Platform 3	Up train arriving Platform 1/2	
Up train arriving Platform 1/2	Down train arriving Platform 3	
""		
Station Working Requirements		
Down passenger trains should use Platform 1 whenever possible		
Maiden Newton		
""		
Dwell Times		
"All Down train classes includingtest trains"	2	
"All Up train classes including testtrains"	3	
""		
Junction Margins		
First Movement	Second Movement	Margin
Re-occupation of Single Line		*
* Depart 1 minute after arrival of up train.  Depart 4 minutes after arrival of down train		
