UTU047	"8 -
weekly"	19/12/2023	"38, 47,
03, 11,
19,
27 & 35"	"Hither Green -
Orpington -
Dover - Hither
Green"	3Q48BA	TO	23.57	"HITHER GREEN
P.A.D."	HITHER GREEN P.A.D.	06.41	"UTU-
T"	RG
UTU011	"8 -
weekly"	15/12/2023	"37, 45,
01, 09,
17,
25 & 33"	"Carlisle -
Weaver Jn -
Derby RTC"	3Q54FC	FO	22.26	"CARLISLE A
SIDING"	"DERBY R.T.C.(NETWORK
RAIL)"	08.32	"UTU-
T"	RG
UTU100	"8 -
weekly"	18/12/2023	"38, 46,
02, 10,
18,
26 & 34"	"Derby -
Grantham -
Doncaster -
Leeds - York -
Doncaster West
Yard"	3Q56SB	MO	20.51	"DERBY
R.T.C.(NETWORK
RAIL)"	YORK	03.19	"UTU-
T"	RG
""	19/12/2023	"38, 46,
02, 10,
18,
26 & 34"	3Q57SB	TO	03.32	YORK	DONCASTER WEST YARD	05.52	"UTU-
R"	RG		
"UTU060
A &
UTU060
B"	"8 -
weekly"	24/01/2024	"43, 51,
07, 15,
23 &
31"	"Reading -
Badminton -
Cardiff -
Bathampton -
Westbury"	3Q60SB	WO	22.42	"READING
TRIANGLE
SIDINGS"	WESTBURY DOWN T.C.	07.25	"UTU-
T"	RG
