"UTU031
A &
UTU031
B"	"8 -
weekly"	23/01/2024	"43, 51,
07, 15,
23 &
31"	"Reading -
Guildford -
Woking -
Portsmouth -
Guildford -
Reading
different
recording
sections"	3Q05DA	TO	23.18	"READING
TRIANGLE
SIDINGS"	"READING TRIANGLE
SIDINGS"	06.12	"UTU-
T"	RG
UTU058	"8 -
weekly"	15/01/2024	"42, 50,
06, 14,
22 &
30"	"Derby - Reading
- Cogload -
Exeter"	3Q06DD	MO	14.28	"DERBY
R.T.C.(NETWORK
RAIL)"	EXETER RIVERSIDE N.Y.	02.45	"UTU-
R"	RG
"UTU147
A &
UTU147
B"	"8 -
weekly"	18/01/2024	"42, 50,
06, 14,
22 &
30"	"Exeter -
Salisbury -
Exeter different
recording
sections"	3Q07DA	ThO	20.53	"EXETER
RIVERSIDE N.Y."	EXETER RIVERSIDE N.Y.	04.58	"UTU-
T"	RG
UTU041	"8 -
weekly"	22/01/2024	"43, 51,
07, 15,
23 &
31"	"Reading -
Cricklewood -
Leicester -
Derby"	3Q07SG	MO	21.20	"READING
TRIANGLE
SIDINGS"	"DERBY R.T.C.(NETWORK
RAIL)"	04.58	"UTU-
T"	RG
UTU017	"8 -
weekly"	19/01/2024	"42, 49,
05, 13,
21 &
29"	"Heaton -
Newcastle -
Doncaster -
Barrow Hill -
Derby"	3Q08GN	FO	22.55	"HEATON
T&R.S.M.D."	"DERBY R.T.C.(NETWORK
RAIL)"	06.24	"UTU-
T"	RG
