Ladybank		
""		
Adjustments to Sectional Running Times		
Movement Down	Reason	Value
"Down train departs Ladybank through Up/DownBranch Loop to Perth (When an Up train isstood on the Up/Down Branch at SignalEB668) after Ladybank"	Slow speed on Up/Down Branch Loop	1
"Down train passes Ladybank through Up/DownBranch Loop to Perth (When an Up train isstood on the Up/Down Branch at SignalEB668) after Ladybank"	Slow speed on Up/Down Branch Loop	2
""		
Movement Up	Reason	Value
Up train pass from Perth after Ladybank	Acceleration purposes	1⁄2
""		
Junction Margins		
First Movement	Second Movement	Margin
Arrive Up/Down Branch Loop from South	Arrive/Pass from Newburgh	4
Arrive/pass Ladybank station from Newburgh	Depart Up/Down branch Loop to Newburgh	1⁄2
"Arrive Up/Down Branch Sig.EB668 fromNewburgh"	Depart Ladybank station to Newburgh	3
"Arrive Up/Down Branch Sig.EB668 fromNewburgh"	Pass Ladybank station to Newburgh	3
Arrive Signal EB668 from Newburgh	Down train for Newburgh arrive Ladybank	3
Pass/Depart Ladybank station to Newburgh	Depart Up/Down Branch Sig.EB668 to South	2
"Up Train Pass/Depart Platform 2 for ThorntonNorth Junction"	Down Train pass to Cupar/Newburgh	5
Down Pass/Depart to Cupar	"Up Train Arrive/Pass Platform 2 fromNewburgh"	21⁄2
Up passenger pass on Up Main	Up pass/arrive from Newburgh	4
"Note:For trains travelling towards Newburgh that are passing a service at Ladybank Sig668 the down service must betimed to travel via Ladybank Branch Loop and have the {2} added"		
Leuchars		
""		
Dwell Time		
MU	1	
LH	2	
""		
Junction Margins		
First Movement	Second Movement	Margin
Down depart Leuchars (MU)	Pass / arrive Cupar	31⁄2
Down depart Leuchars (LH)	Pass / arrive Cupar	4
Pass Leuchars	Pass / arrive Cupar	3
