""	"MD136 HARLESDEN JN TO WEMBLEY CENTRAL (WILLESDEN CARRIAGE SHEDLINES)"			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Harlesden Jn to WillesdenCarriage Shed North"	Open continuously	Open continuously	Open continuously
""	The following signal box is equipped to be switched–out.  Opening hours are:			
""		SX	SO	SUN
""	Willesden Carriage Shed North	Open Continuously	"Open 00:01 to 15:00and from 19:00 to 23:59"	Open Continuously
""	MD170 ACTON CANAL WHARF TO WILLESDEN JN			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Acton Canal Wharf to WillesdenJn"	Open continuously	Open continuously	Closed 07:00 – 19:00
""	MD175 BRACKMILLS TO NORTHAMPTON SOUTH JN			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Brackmills to Northampton SouthJn"	"0800-1530FX, 0730-1430FO"	Closed	Closed
""	MD340 ASTON NORTH JN TO ALREWAS (EXCLUSIVE)			
""	ROUTE SECTION	SX	SO	SUN
""				
""	"Aston North Jn to Lichfield TrentValley High Level (inclusive)"	Open continuously	Open continuously	Open continuously
""	"Lichfield Trent Valley High Level(exclusive) to Alrewas"	"Open from 0600Monday"	"0001 – 06001815 – 0015 (Sun)"	0730 - 1230
