Stow and Galabank Junction		
""		
Junction Margins		
First Movement	Second Movement	Margin
Up train pass	Down train pass	21⁄2
"Up train pass Galabank Junction, calling atStow"	"Down train pass to Tynehead Junction, notcalling at Stow"	21⁄2
"Down train pass to Tynehead Junction, notcalling at Stow"	"Up train pass from Tynehead Junction, notcalling at Stow"	21⁄2
Tynehead Junction		
""		
Junction Margins		
First Movement	Second Movement	Margin
Pass from Galabank Junction	Pass to Galabank Junction	21⁄2
Fushiebridge Junction		
""		
Junction Margins		
First Movement	Second Movement	Margin
Pass from Gorebridge	Pass to Gorebridge	21⁄2
Kings Gate Junction		
""		
Junction Margins		
First Movement	Second Movement	Margin
Pass to Shawfair	Pass to Eskbank	21⁄2
Newcraighall South Junction		
""		
Restriction		
"No pathing time to be inserted between Newcraighall and Newcraighall South Junction(No intermediate signals on single line)"		
""		
Junction Margins		
First Movement	Second Movement	Margin
Pass to Shawfair	Pass to Newcraighall	21⁄2
