Lewes			
""			
"Down train departing Platforms 3 or the UpWall Siding towards Southerham Junction"	Down train arriving Platform 1	Signal TLW1	4
Up train departing Platform 4	Up train arriving Platform 5	Signal TLW12	21⁄2
Up train departing Platform 5	Up train arriving Platform 4	Signal TLW10	21⁄2
Down train arriving Platform 5	Up train arriving Platform 4	Signal TLW10	3
"Up train arriving Platform 4 from SoutherhamJunction"	"Down train arriving Platform 5from Falmer"	Signal TLW10	3
Up train arriving into the Up Wall Siding	Down train arriving Platform 5	Signal TLW11	3
Down train arriving Platform 5	"Down train departing Platform4 or the Up Wall Sidingtowards Southerham Junction"	Signal TLW11	1
"Up train formed of more than 7 coaches departPlatform 4"	"Up train arriving into any otherplatform or the Up Wall Sidingfrom Southerham Junction"	Signal TLW14	21⁄2
""			
Planning Note			
"Note that if 8 car trains stopping at Lewes in Up direction should use Platform 5 rather than Platform 4 due to theoverlap clearing for a train in rear"			
Southerham Junction		
""		
Adjustment to Sectional Running Times		
Movement	Reason	Value
"All movements on the Down Eastbourne routedtowards Down Seaford"	Approach control on Signal TLW15	{1⁄2}
Polegate			
""			
Dwell Times			
All Peak Services	1		
""			
Overlap Restrictions			
First Movement	Second Movement	Reason	Margin
"Train shunting into Platform 2using 711 crossovers"	"Train arriving into Platform 1 fromWillingdon Junction"	"Overlap on signalTEB1374"	3
""			
Operating Restrictions			
"Trains cannot be stood at Platform 1 for longer than 2 minutes due to level crossing being automatically enabledwhen approaching the platform."			
""			
Planning Note			
Trains formed of a 12 car EMU must not be planned to reverse at this station, due to operational restrictions.			
Hampden Park	
""	
Connectional Allowances	
All Services	4
""	
Dwell Times	
All Peak Services	1
