|                                                                                                                           |                                                            |                                              |
|:--------------------------------------------------------------------------------------------------------------------------|:-----------------------------------------------------------|:---------------------------------------------|
| East Peckham Tip                                                                                                          |                                                            |                                              |
| Junction Margins                                                                                                          |                                                            |                                              |
| First Movement                                                                                                            | Second Movement                                            | Margin                                       |
| Freight train arriving inside East                                                                                        | Down train departs from                                    | The second train departs from Paddock Wood   |
| Peckham Tip                                                                                                               | Paddock Wood                                               | no more than 1 minute before the first train |
|                                                                                                                           |                                                            | arrives in East Peckham Tip sidings.         |
| Maidstone West                                                                                                            |                                                            |                                              |
| Junction Margins                                                                                                          |                                                            |                                              |
| First Movement                                                                                                            | Second Movement                                            | Margin                                       |
| Northbound departure from Platform 2                                                                                      | Southbound arrival into platform 2                         | 3                                            |
| Connectional Allowance                                                                                                    | 4                                                          |                                              |
| Dwell Time                                                                                                                |                                                            |                                              |
| All Services                                                                                                              | 1                                                          |                                              |
| Permissive working for attaching/detaching and platform sharing is authorised as shown below:                             |                                                            |                                              |
| Platform 1                                                                                                                | Attaching/Detaching in Up direction                        |                                              |
| Platform 2                                                                                                                | Attaching/Detaching in Down direction                      |                                              |
| In all circumstances, a second train is prohibited from entering these platforms if it will not attach to the first train |                                                            |                                              |
| Planning Note                                                                                                             |                                                            |                                              |
| Please note a change of line designation here when planning trains to/from the Paddock Wood direction                     |                                                            |                                              |
|                                                                                                                           | SO200 - Please see Sussex Timetable Planning Rules – SO600 |                                              |
|                                                                                                                           | SO210 - Please see Sussex Timetable Planning Rules – SO610 |                                              |
