|                      |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
|:---------------------|:----------------------------------|:--------|:----------|:----------|:----------|:-------|:-------|:--------|:------|:----------|:----------|:----------|:-----|:------|
| Humber Road Junction | 196 Routes Detailed in the Matrix |         |           |           |           |        |        |         |       |           |           |           |      |       |
| 2nd Move →           | Pass                              | Pass    | Pass      | Pass      | Pass      | Pass   | Pass   | Pass    | Pass  | Pass      | Pass      | Pass      | Pas  | Pass  |
|                      | Up                                | Up      | UM to     | UM to     | UM to     | UM to  | UM to  | DM      | DM    | DM from   | DM from   | DM from   | s    | DM    |
|                      | Main                              | Main    | Receptio  | Receptio  | Receptio  | ESL    | Up     | from    | from  | Receptio  | Receptio  | Receptio  | DM   | from  |
|                      | to Up                             | to      | n         | n Road    | n Road    |        | Grims  | Down    | NCB   | n         | n Road    | n Road    | from | Down  |
|                      | Killing                           | NCB     | Sidings   | 7 (via    | 1 (via    |        | by     | Killing |       | Sidings   | 7 (via    | 1 (via    | ESL  | Grims |
|                      | holme                             | Arrival | (via      | Arrival/D | Arrival/D |        |        | holme   |       | (via      | Arrival/D | Arrival/D |      | by    |
|                      |                                   | s       | Arrival/D | ep. Line) | ep. Line) |        |        |         |       | Arrival/D | ep. Line) | ep. Line) |      |       |
|                      |                                   |         | ep. Line) |           |           |        |        |         |       | ep. Line) |           |           |      |       |
| 1st Move ↓           |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Pass UM to           | H                                 | H       | H         | H         | H         | H      | H      | P       | P     | P         | P         | P         | P    | P     |
| Up                   |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Killingholme         |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Pass UM to           | 71⁄2*                             |         | H         | H         | H         | H      | 71⁄2*  | 71⁄2    |       | P         | P         | P         | P    | P     |
| NCB Arrivals         |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Pass UM to           | 8*                                | H       | 101⁄2*    | 101⁄2*    | 101⁄2*    | 101⁄2* | 121⁄2* | 8       | 101⁄2 | 21†       | 251⁄2†    | 251⁄2†    | 20†  | 111⁄2 |
| Reception            |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Sidings (via         |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Arrival/Dep.         |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Line)                |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Pass UM to           | 8*                                | H       | 101⁄2*    |           | 101⁄2*    | 101⁄2* | 121⁄2* | 8       | 101⁄2 | 21†       |           | 251⁄2†    | 20†  | 111⁄2 |
| Reception            |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Road 7 (via          |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Arrival/Dep.         |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Line)                |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Pass UM to           | 8*                                | H       | 101⁄2*    | 101⁄2*    |           | 101⁄2* | 121⁄2* | 8       | 101⁄2 | 21†       | 251⁄2†    |           | 20†  | 111⁄2 |
| Reception            |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Road 1 (via          |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Arrival/Dep.         |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Line)                |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Pass UM to           | 8*                                | H       | 91⁄2*     | 91⁄2*     | 91⁄2*     | 91⁄2*  | 111⁄2* | 8       | 101⁄2 | 161⁄2†    | 21†       | 21†       |      | 101⁄2 |
| ESL                  |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
| Pass UM to           | H                                 | H       | H         | H         | H         | H      | H      | 5       | 71⁄2  | 5         | 91⁄2      | 91⁄2      | 5    | 4     |
| Up Grimsby           |                                   |         |           |           |           |        |        |         |       |           |           |           |      |       |
