|                    |                                                                                     |
|:-------------------|:------------------------------------------------------------------------------------|
| Passenger Services |                                                                                     |
| 1Exx               | Southampton & Reading to Newcastle via Birmingham New Street & York                 |
|                    | Plymouth to Leeds & York via Birmingham New Street                                  |
| 1Fxx               | St Pancras to Sheffield                                                             |
|                    | St Pancras to Leeds via Sheffield                                                   |
| 1Gxx               | Nottingham to Birmingham New Street                                                 |
| 1Hxx               | Corby to St Pancras                                                                 |
| 1Ixx               | NOT USED                                                                            |
| 1Jxx               | NOT USED                                                                            |
| 1Kxx               | Birmingham New Street to Leicester                                                  |
|                    | Crewe to Derby                                                                      |
|                    | Derby to Crewe                                                                      |
| 1Lxx               | Birmingham New Street to Stansted Airport                                           |
|                    | Liverpool to Norwich                                                                |
|                    | Leeds to Lincoln Central                                                            |
| 1Mxx               | Cardiff to Nottingham                                                               |
|                    | Edinburgh, Glasgow & Newcastle to Birmingham New Street                             |
|                    | St Pancras & Kettering to north of Corby                                            |
| 1Nxx               | Stansted Airport to Birmingham New Street                                           |
|                    | Nottingham to Sheffield                                                             |
| 1Oxx               | Newcastle to Southampton                                                            |
| 1Pxx               | North of Corby to Kettering & St Pancras                                            |
|                    | Leicester to Birmingham New Street                                                  |
| 1Qxx               | Network Rail Test Trains                                                            |
| 1Rxx               | Norwich to Liverpool Lime Street                                                    |
| 1Sxx               | Plymouth & Penzance to Edinburgh & Glasgow or Aberdeen via Bristol & Birmingham New |
|                    | Street                                                                              |
| 1Txx               | NOT USED                                                                            |
| 1Uxx               | NOT USED                                                                            |
| 1Vxx               | Aberdeen or Glasgow & Edinburgh to Plymouth & Penzance via Bristol & Birmingham New |
|                    | Street                                                                              |
|                    | Newcastle to Reading                                                                |
|                    | Nottingham to Cardiff                                                               |
| 1Wxx               | NOT USED                                                                            |
| 1Xxx               | NOT USED                                                                            |
| 1Yxx               | St Pancras to Corby                                                                 |
|                    | Leeds to Nottingham                                                                 |
|                    | Nottingham to Leeds                                                                 |
| 1Zxx               | Special Traffic/Charter services                                                    |
| TID                | Class 2 services (WTT)                                                              |
| 2Axx               | Newark Castle or Grantham to Matlock via Nottingham & Derby                         |
|                    | Matlock to Nottingham via Derby                                                     |
| 2Bxx               | NOT USED                                                                            |
| 2Cxx               | NOT USED                                                                            |
| 2Dxx               | Worksop or Mansfield Woodhouse to Nottingham                                        |
