|                                                                                                                |                             |                 |        |     |     |     |     |    |     |     |     |     |
|:---------------------------------------------------------------------------------------------------------------|:----------------------------|:----------------|:-------|:----|:----|:----|:----|:---|:----|:----|:----|:----|
| Engine Shed Junction & Holbeck Depot Junction                                                                  |                             |                 |        |     |     |     |     |    |     |     |     |     |
| 1st Move ↓             2nd                                                                                     |                             |                 |        |     |     |     |     |    |     |     |     |     |
| Move →                                                                                                         |                             |                 |        |     |     |     |     |    |     |     |     |     |
| Pass to Leeds                                                                                                  | H                           | H               | S      | 2.5 | H   | H   | 1   | H  | 1   | 1   | 4   | 4   |
| Pass to Whitehall                                                                                              | H                           | H               | S      | 2.5 | H   | H   | 1.5 | H  | 1.5 | 1   | 4   | 4   |
| Junction                                                                                                       |                             |                 |        |     |     |     |     |    |     |     |     |     |
| Pass from Leeds UM                                                                                             | S                           | S               | H      | H   | S   | S   | H   | S  | H   | N   | S/H | H   |
| Pass from Whitehall                                                                                            | 4                           | 4               | H      | H   | 2   | 2   | H   | 3  | H   | N   | H   | H   |
| Depart L3859 to Leeds                                                                                          | H                           | H               | S      | 2   |     | H   | 2   | H  | 2   | H   | 2   | S   |
| Depart Shunt Neck                                                                                              | H                           | H               | S      | 1.5 | H   |     | 2   | H  | 2   | 1.5 | 1.5 | S   |
| Pass to Shunt Neck                                                                                             | 3                           | 3               | H      | 2.5 | 1.5 | N   |     | 2  | 1.5 | 1.5 | H   | H   |
| Pass Stourton to Depot                                                                                         | H                           | H               | S      | 2.5 | N   | 1.5 | 1.5 | H  | 1.5 | N   | 4.5 | 4.5 |
| Depart Whitehall Curve                                                                                         | 4.5                         | 4.5             | H      | H   | 2.5 | 2.5 | H   | 3  |     | N   | H   | N   |
| Depart L4491 to Depot                                                                                          | 1.5                         | 1.5             | 3      | 3   | 2   | 2   | 2   | H  | 2   |     | 5   | 5   |
| Arrive L3859 From Leeds                                                                                        | N                           | N               | H      | H   | T   | 0.5 | H   | S  | 0.5 | N   |     | 3.5 |
| Arrive L4491 from Leeds                                                                                        | S                           |                 | S      | H   | H   | S   | 0.5 | H  | N   | N   | N   | 3.5 |
| S = Simultaneous                                                                                               |                             |                 |        |     |     |     |     |    |     |     |     |     |
| H = Headway                                                                                                    |                             |                 |        |     |     |     |     |    |     |     |     |     |
| N = Not Possible                                                                                               |                             |                 |        |     |     |     |     |    |     |     |     |     |
| Note: Margins shown at signal numbers are for reference only and are timed as a stop at Engine Shed Junction & |                             |                 |        |     |     |     |     |    |     |     |     |     |
| Holbeck Depot Junction                                                                                         |                             |                 |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | LN880 YORK TO SCARBOROUGH   |                 |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | York                        |                 |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | Refer to LN600              |                 |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | Scarborough Bridge Junction |                 |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | Refer to LN600 under York   |                 |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | Malton                      |                 |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | Dwell Time                  |                 |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | DMU                         | 1               |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | 80x/Class68 mk5             | 11⁄2            |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | Junction Margins            |                 |        |     |     |     |     |    |     |     |     |     |
|                                                                                                                | First Movement              | Second Movement | Margin |     |     |     |     |    |     |     |     |     |
