|        |        |            |         |                  |        |     |       |                |                         |      |      |    |
|:-------|:-------|:-----------|:--------|:-----------------|:-------|:----|------:|:---------------|:------------------------|-----:|:-----|:---|
| UTU179 | 24 -   | 15/02/2024 | 46 & 18 | Doncaster West   | 3Q13PD | ThO | 22    | DONCASTER      | DONCASTER WEST YARD     | 5.08 | UTU- | RG |
|        | weekly | 01/08/2024 |         | Yard -           |        |     |       | WEST YARD      |                         |      | R    |    |
|        |        |            |         | Ferrybridge -    |        |     |       |                |                         |      |      |    |
|        |        |            |         | Monk Bretton -   |        |     |       |                |                         |      |      |    |
|        |        |            |         | Castleford -     |        |     |       |                |                         |      |      |    |
|        |        |            |         | Doncaster West   |        |     |       |                |                         |      |      |    |
|        |        |            |         | Yard             |        |     |       |                |                         |      |      |    |
| UTU086 | 8 -    | 08/01/2024 | 41, 48, | Derby - Barrow   | 3Q15GN | MO  | 22.1  | DERBY          | HEATON T&R.S.M.D.       | 5.34 | UTU- | RG |
|        | weekly |            | 04, 12, | Hill - Doncaster |        |     |       | R.T.C.(NETWORK |                         |      | T    |    |
|        |        |            | 20,     | - Newcastle -    |        |     |       | RAIL)          |                         |      |      |    |
|        |        |            | 28 & 36 | Heaton           |        |     |       |                |                         |      |      |    |
| UTU045 | 8 -    | 29/01/2024 | 44, 52, | Derby - Colwich  | 3Q16FA | MO  | 20.46 | DERBY          | CREWE C.S. (L&NWR SITE) | 6.28 | UTU- | RG |
|        | weekly |            | 08, 16, | - Cheadle -      |        |     |       | R.T.C.(NETWORK |                         |      | T    |    |
|        |        |            | 24      | Crewe            |        |     |       | RAIL)          |                         |      |      |    |
|        |        |            | & 32    |                  |        |     |       |                |                         |      |      |    |
| UTU015 | 8 -    | 02/02/2024 | 44, 52, | Crewe - Stafford | 3Q17EB | FO  | 23.22 | CREWE C.S.     | DERBY R.T.C.(NETWORK    | 8.32 | UTU- | RG |
| A &    | weekly |            | 08, 16, | - Rugby via      |        |     |       | (L&NWR SITE)   | RAIL)                   |      | T    |    |
| UTU015 |        |            | 24 &    | Birmingham       |        |     |       |                |                         |      |      |    |
| B      |        |            | 32      | New Street -     |        |     |       |                |                         |      |      |    |
|        |        |            |         | Derby RTC        |        |     |       |                |                         |      |      |    |
| UTU043 | 8 -    | 08/01/2024 | 41, 49, | Derby - York -   | 3Q19SB | MO  | 23.08 | DERBY          | DONCASTER WEST YARD     | 5.49 | UTU- | RG |
|        | weekly |            | 05, 13, | Moorthorpe -     |        |     |       | R.T.C.(NETWORK |                         |      | T    |    |
|        |        |            | 21 &    | Leeds -          |        |     |       | RAIL)          |                         |      |      |    |
|        |        |            | 29      | Doncaster West   |        |     |       |                |                         |      |      |    |
|        |        |            |         | Yard             |        |     |       |                |                         |      |      |    |
