|                                                                                                                      |    |
|:---------------------------------------------------------------------------------------------------------------------|:---|
| Glenfinnan                                                                                                           |    |
| All trains must stop for token exchange purposes.                                                                    |    |
| Dwell Time                                                                                                           |    |
| Where passing an overlength train                                                                                    | 3  |
| For Up trains, see general restictions above.                                                                        |    |
| For Down trains, see general restictions above.                                                                      |    |
| If a train is in the process of shunting between Mallaig platform 1 and platform 2, then the section from Arisaig to |    |
| Mallaig is occupied and a Long Section Token from Glenfinnan to Mallaig cannot be issued a token exchange stop       |    |
| must take place at Arisaig.                                                                                          |    |
| Arisaig                                                                                                              |    |
| All trains must stop for token exchange purposes, unless a Long Section Token has been issued at the previous        |    |
| Token Exchange Point.                                                                                                |    |
|                                                                                                                      |    |
| If a train is in the process of shunting between Mallaig platform 1 and platform 2, then the section from Arisaig to |    |
| Mallaig is occupied and a token for this section cannot be issued.                                                   |    |
| Morar                                                                                                                |    |
| All Up trains must stop to operate Level Crossing Plunger                                                            |    |
| Dwell Time                                                                                                           |    |
