|        |        |            |          |                 |        |    |       |                |                       |      |      |    |
|:-------|:-------|:-----------|:---------|:----------------|:-------|:---|------:|:---------------|:----------------------|-----:|:-----|:---|
| UTU040 | 8 -    | 15/01/2024 | 42, 50,  | Derby - MML -   | 3Q20SB | MO | 21.22 | DERBY          | CAMBRIDGE T.&R.S.M.D. | 5.48 | UTU- | RG |
|        | weekly |            | 06, 14,  | St Pancs -      |        |    |       | R.T.C.(NETWORK |                       |      | T    |    |
|        |        |            | 22 &     | Liverpool St -  |        |    |       | RAIL)          |                       |      |      |    |
|        |        |            | 30       | Stansted -      |        |    |       |                |                       |      |      |    |
|        |        |            |          | Cambridge       |        |    |       |                |                       |      |      |    |
| UTU022 | 8 -    | 26/01/2024 | 43, 51,  | Bristol         | 3Q21SB | FO | 22.27 | BRISTOL        | DERBY R.T.C.(NETWORK  | 9.32 | UTU- | RG |
| A &    | weekly |            | 07, 15,  | Kingsland Road  |        |    |       | KINGSLAND ROAD | RAIL)                 |      | T    |    |
|        |        |            | 23 &     | Level - Swindon |        |    |       |                |                       |      |      |    |
| UTU022 |        |            | 31       | - Didcot -      |        |    |       |                |                       |      |      |    |
| B      |        |            |          | Banbury - Derby |        |    |       |                |                       |      |      |    |
|        |        |            |          | RTC             |        |    |       |                |                       |      |      |    |
| UTU037 | 8 -    | 20/12/2023 | 38, 47,  | Hither Green -  | 3Q22BC | WO | 20.25 | HITHER GREEN   | HITHER GREEN P.A.D.   | 5.28 | UTU- | RG |
|        | weekly |            | 03, 11,  | Victoria -      |        |    |       | P.A.D.         |                       |      | T    |    |
|        |        |            | 19, 27 & | Balcombe -      |        |    |       |                |                       |      |      |    |
|        |        |            | 35       | Horsham Slows   |        |    |       |                |                       |      |      |    |
|        |        |            |          | - Hither Green  |        |    |       |                |                       |      |      |    |
| UTU016 | 8 -    | 23/12/2023 | 39, 48,  | Woking -        | 3Q26EM | SO |  0.21 | WOKING UP YARD | DERBY R.T.C.(NETWORK  | 9.31 | UTU- | RG |
| N      | weekly |            | 04, 12,  | Basingstoke -   |        |    |       | RECP.          | RAIL)                 |      | T    |    |
|        |        |            | 20,      | Woking and      |        |    |       |                |                       |      |      |    |
|        |        |            | 28 & 36  | MML Slow North  |        |    |       |                |                       |      |      |    |
|        |        |            |          | - Derby         |        |    |       |                |                       |      |      |    |
| UTU006 | 8 -    | 24/01/2024 | 43, 51,  | Derby - Crewe - | 3Q30SB | WO | 22.44 | DERBY          | TYSELEY L.M.D.        | 7.04 | UTU- | RG |
|        | weekly |            | 07, 15,  | Liverpool -     |        |    |       | R.T.C.(NETWORK |                       |      | R    |    |
|        |        |            | 23 &     | Crewe -Tyseley  |        |    |       | RAIL)          |                       |      |      |    |
|        |        |            | 31       |                 |        |    |       |                |                       |      |      |    |
