|                                                                                                      |    |
|:-----------------------------------------------------------------------------------------------------|:---|
| Garve                                                                                                |    |
| All trains must stop for token exchange purposes                                                     |    |
| Dwell Time                                                                                           |    |
| All Down trains (Level Crossing                                                                      | 2  |
| Plunger and RETB duties)                                                                             |    |
| Achnasheen                                                                                           |    |
| All trains must stop for token exchange purposes, unless a Long Section Token has been issued at the |    |
| previous Token Exchange Point.                                                                       |    |
| Strathcarron                                                                                         |    |
| All trains must stop for token exchange purposes                                                     |    |
| Dwell Time                                                                                           |    |
| All Down trains (Level Crossing                                                                      | 2  |
| Plunger and RETB duties)                                                                             |    |
| Stromeferry                                                                                          |    |
