|                                                                                                                       |                                               |                                        |        |
|:----------------------------------------------------------------------------------------------------------------------|:----------------------------------------------|:---------------------------------------|:-------|
| Dartford                                                                                                              |                                               |                                        |        |
| Permissive working for attaching/detaching and platform sharing is authorised as shown below:                         |                                               |                                        |        |
| Platform 1                                                                                                            | Up Passenger Loop                             | Attaching/Detaching in Both directions |        |
| Platform 2                                                                                                            | Up Main                                       | Attaching/Detaching in Both directions |        |
| Platform 3                                                                                                            | Down Main                                     | Attaching/Detaching in Both directions |        |
| Platform 4                                                                                                            | Down Passenger Loop                           | Attaching/Detaching in Both directions |        |
| Overlap Restrictions                                                                                                  |                                               |                                        |        |
| First Movement                                                                                                        | Second Movement                               | Reason                                 | Margin |
| Up Train departing Platform 1                                                                                         | Up train pass/arriveing Platform 2            | NK404                                  | 2      |
| Up depart/pass Platforms 1 or 2 to Reversible                                                                         | Up train arrive Platform 3                    | NK496                                  | 2      |
| Up depart/pass Platforms 1 or 2 to Reversible                                                                         | Up arrival Platform 4 prevents                | NK497                                  | 2      |
|                                                                                                                       | Down arrival into Platform 3 from             |                                        |        |
|                                                                                                                       | down Main                                     |                                        |        |
| Down train arriveing Platform 1                                                                                       | Up Train pass/arriveing Platform 2            | NK404                                  | 2      |
| Train departing Platform 1 towards Gravesend                                                                          | Down train pass/arriveing                     | NK485                                  | 2      |
|                                                                                                                       | Platform 2                                    |                                        |        |
| Up train arriveing Platform 2                                                                                         | Up train departing Platform 1                 | NK404                                  | 2      |
| Up train arriving Platform 2                                                                                          | Up train arriving Platform 1                  | NK404                                  | 2      |
| Up train arriveing Platform 2                                                                                         | Down train arriveing Platform 1               | NK404                                  | 2      |
| Up train arriveing Platform 2                                                                                         | Up train arriveing Platform 1 from            | Same time                              |        |
|                                                                                                                       | Dartford Up Siding 4                          |                                        |        |
| Down train pass/arriveing Platform 2                                                                                  | Up train arriveing Platform 1                 | NK485                                  | 2      |
| Down train arrive Platform 2 or 3                                                                                     | Train arrive/depart Platform 3 or 4           | NK485                                  | 2      |
|                                                                                                                       | from/to the Up Sidings 1 or 3                 |                                        |        |
| Up train depart/pass Platform 3 to Down Main                                                                          | Up train arrive Platform 4                    | NK482                                  | 2      |
| Train arriveing/departing Platform 3 or 4 from/to                                                                     | Down train arriveing Platform 2 or            | NK485/497                              | 2      |
| the Up Sidings                                                                                                        | 3                                             |                                        |        |
| Down train arriving Platform 2 or 3                                                                                   | Train arriving/departing from Platform 3 or 4 | tbc                                    |        |
|                                                                                                                       | from/to the Up Sidings                        |                                        |        |
| Station Working Requirements                                                                                          |                                               |                                        |        |
| All trains departing to/from the sidings must stop in a platform for a minimum of 1 minute to allow for route setting |                                               |                                        |        |
