|                                                                                                            |                                                                                   |
|:-----------------------------------------------------------------------------------------------------------|:----------------------------------------------------------------------------------|
| SW100 LONDON WATERLOO TO CLAPHAM JUNCTION                                                                  |                                                                                   |
| Down train using ladder at West Crossings to cross                                                         | Down train depart Waterloo via Up Windsor                                         |
| from the Windsor Reversible                                                                                |                                                                                   |
| Down train weaving from Up Main Relief to Down                                                             | Up or Down train running straight along Up Windsor at West                        |
| Windsor Fast at West Crossings                                                                             | Crossings                                                                         |
| Down train departing Waterloo via Down Windsor                                                             | Down train departing Waterloo via Up Main Relief                                  |
| towards Down Windsor Slow                                                                                  |                                                                                   |
| (N.B. There is no restriction if train is routed                                                           |                                                                                   |
| towards Down Windsor Fast)                                                                                 |                                                                                   |
| Down train routed past West Crossings that has                                                             | Down train depart Waterloo via Up Windsor (towards W57)                           |
| approached via Windsor Reversible (i.e. has a                                                              |                                                                                   |
| proceed aspect at W49)                                                                                     |                                                                                   |
| Down train routed past West Crossings that has                                                             | Down train depart Waterloo via Down Windsor (towards                              |
| approached via Up Windsor (i.e. has a proceed                                                              | W55)                                                                              |
| aspect at W57)                                                                                             |                                                                                   |
| Train Length Restrictions                                                                                  |                                                                                   |
| Maximum standage at final signals approaching Waterloo whilst still allowing trains to be routed over West |                                                                                   |
| Crossings in rear (N.B. longer trains than stated below may be stood but will foul West Crossings)         |                                                                                   |
| Line                                                                                                       | Maximum standage to be clear of West Crossings                                    |
| UMS (Signal W2)                                                                                            | 234 metres (10-car)                                                               |
| UMF (Signal W4)                                                                                            | 176 metres (8-car 450 – however can stand a 12-car 450 and allow route for        |
|                                                                                                            | following train to Up Main Relief)                                                |
| UMR (Signal W6)                                                                                            | 150 metres (5-car 444/458/707- however can stand a 12-car 450 and allow route for |
|                                                                                                            | following train to MFL)                                                           |
| UW (Signal W10)                                                                                            | 97 metres (4-car 450/455)                                                         |
| RVL (Signal W8)                                                                                            | 97 metres (4-car 450/455)                                                         |
| WR1 (Signal W906)                                                                                          | Cannot stand at this signal – route must be set into platform                     |
