|                          |                                                                                     |
|:-------------------------|:------------------------------------------------------------------------------------|
| Abbreviation             | Description                                                                         |
| UPW                      | Up Waterloo Connecting Line                                                         |
| USH                      | Up Snow Hill                                                                        |
| USL                      | Up Holborn Slow Line                                                                |
| USV                      | Up Slow Tonbridge Loop                                                              |
| UTH                      | Up Tanners Hill                                                                     |
| UWC                      | Up CTRL West Chord                                                                  |
| V                        | Loop                                                                                |
| London Bridge Approaches |                                                                                     |
| 1                        | No. 1 Down Cannon Street Services                                                   |
| 2                        | No. 2 Up and Down Cannon Street Reversible                                          |
| 3                        | No. 3 Up Cannon Street (Down Thameslink Services (Perturbation & Planned Diversion  |
|                          | Only)                                                                               |
| 4                        | No. 4 Down Snow Hill  (Thameslink Services)                                         |
| 5                        | No. 5 Up Snow Hill (Thameslink Services)                                            |
| 6                        | No. 6 Down (Charing Cross Services & Up Thameslink Services (Perturbation & Planned |
|                          | Diversion Only))                                                                    |
| 7                        | No. 7 Down (Charing Cross Services)                                                 |
| 8                        | No. 8 Up (Charing Cross Services)                                                   |
| 9                        | No. 9 Up (Charing Cross Services)                                                   |
