|                                                                                                           |                 |              |          |        |
|:----------------------------------------------------------------------------------------------------------|:----------------|:-------------|:---------|:-------|
| The below are the minimum headways applicable, and do not account for any differential that should apply. |                 |              |          |        |
| These apply where there are applicable numerical headways                                                 |                 |              |          |        |
| First                                                                                                     |                 | Second train |          |        |
| train ↓                                                                                                   |                 |              |          |        |
|                                                                                                           |                 | Arrive       | Pass     | Depart |
|                                                                                                           | Arrive          | n/a*         | n/a†     |        |
| Pass                                                                                                      | Platform Reocc. | Non-stop     | Non-stop |        |
| Depart                                                                                                    | Platform Reocc. | Stopping     | Stopping |        |
