|                                                                        |                   |
|:-----------------------------------------------------------------------|:------------------|
| GW940 CARMARTHEN STATION TO CARMARTHEN BRIDGE JUNCTION                 |                   |
| 80x                                                                    | 6                 |
| 15x / 175                                                              | 3                 |
| Turnround Allowances                                                   |                   |
|                                                                        | Class 80X (5 car) |
| From Paddington                                                        | 25                |
| From Swansea                                                           | 10                |
| ECS arrival to form passenger train                                    | 10                |
| Passenger arrival to form ECS                                          | 10                |
| GW950 WHITLAND TO PEMBROKE DOCK                                        |                   |
| Whitland                                                               |                   |
| See entry under GW900 Pilning (excl) to Fishguard Harbour for Whitland |                   |
| Narberth                                                               |                   |
| Dwell Time                                                             |                   |
| 80x                                                                    | 1                 |
| 15x / 175                                                              | 1⁄2*              |
| * Request Stop                                                         |                   |
| Kilgetty                                                               |                   |
| Dwell Time                                                             |                   |
| 80x                                                                    | 1                 |
| 15x / 175                                                              | 1⁄2*              |
| * Request Stop                                                         |                   |
| Saundersfoot                                                           |                   |
| Dwell Time                                                             |                   |
| 80x                                                                    | 1                 |
| 15x / 175                                                              | 1⁄2*              |
