|                                                                                               |                                           |
|:----------------------------------------------------------------------------------------------|:------------------------------------------|
| Tunbridge Wells and Tunbridge Wells Turnback Siding                                           |                                           |
| Permissive working for attaching/detaching and platform sharing is authorised as shown below: |                                           |
| Platform 1                                                                                    | Attaching/detaching and Platform Sharing  |
| Platform 2                                                                                    | Attaching/detaching and Platform Sharing  |
| Simultaneous moves which ARE permitted:                                                       |                                           |
| First Movement                                                                                | Second Movement                           |
| Train departs from Turnback Siding towards Platform 2                                         | Up Train arrives in Platform 1 from Frant |
| or vice versa                                                                                 |                                           |
