|        |        |            |         |                   |        |     |       |                |                         |      |      |    |
|:-------|:-------|:-----------|:--------|:------------------|:-------|:----|------:|:---------------|:------------------------|-----:|:-----|:---|
| UTU107 | 8 -    | 19/01/2024 | 42, 50, | Colchester -      | 3Q66SB | FO  | 22.53 | COLCHESTER     | DERBY R.T.C.(NETWORK    | 8.16 | UTU- | RG |
|        | weekly |            | 06, 14, | Ipswich -         |        |     |       | RECEPTION LINE | RAIL)                   |      | T    |    |
|        |        |            | 22 &    | Felixstowe -      |        |     |       |                |                         |      |      |    |
|        |        |            | 30      | Liverpool Street  |        |     |       |                |                         |      |      |    |
|        |        |            |         | - Derby           |        |     |       |                |                         |      |      |    |
| UTU067 | 8 -    | 02/01/2024 | 40, 48, | Derby - WCML      | 3Q68SB | MO  | 21.22 | DERBY          | RUGBY DEPOT ACCESS      | 5.52 | UTU- | RG |
|        | weekly |            | 04, 12, | Rugby - Milton    |        |     |       | R.T.C.(NETWORK | LINE                    |      | T    |    |
|        |        |            | 20,     | Keynes - Rugby    |        |     |       | RAIL)          |                         |      |      |    |
|        |        |            | 28 & 36 |                   |        |     |       |                |                         |      |      |    |
| UTU068 | 8 -    | 03/01/2024 | 40, 48, | Rugby - WCML      | 3Q69SB | TO  | 21.24 | RUGBY DEPOT    | RUGBY DEPOT ACCESS      | 8.02 | UTU- | RG |
|        | weekly |            | 04, 12, | Milton Keynes -   |        |     |       | ACCESS LINE    | LINE                    |      | T    |    |
|        |        |            | 20,     | Euston - Rugby    |        |     |       |                |                         |      |      |    |
|        |        |            | 28 & 36 |                   |        |     |       |                |                         |      |      |    |
| UTU069 | 8 -    | 04/01/2024 | 40, 48, | Rugby - WCML      | 3Q70SD | WO  | 23.05 | RUGBY DEPOT    | DERBY R.T.C.(NETWORK    | 7.32 | UTU- | RG |
|        | weekly |            | 04, 12, | South Rugby -     |        |     |       | ACCESS LINE    | RAIL)                   |      | T    |    |
|        |        |            | 20,     | Lichfield - Derby |        |     |       |                |                         |      |      |    |
|        |        |            | 28 & 36 |                   |        |     |       |                |                         |      |      |    |
| UTU070 | 8 -    | 28/12/2023 | 39, 48, | Derby - WCML      | 3Q71SB | ThO | 22.37 | DERBY          | CREWE C.S. (L&NWR SITE) | 6.37 | UTU- | RG |
|        | weekly |            | 04, 12, | South - Lichfield |        |     |       | R.T.C.(NETWORK |                         |      | T    |    |
|        |        |            | 20,     | - Crewe           |        |     |       | RAIL)          |                         |      |      |    |
|        |        |            | 28 & 36 |                   |        |     |       |                |                         |      |      |    |
