|                                                                                                        |                                                                              |          |          |          |           |           |            |            |
|:-------------------------------------------------------------------------------------------------------|:-----------------------------------------------------------------------------|:---------|:---------|:---------|:----------|:----------|:-----------|:-----------|
| Knottingley West Junction                                                                              |                                                                              |          |          |          |           |           |            |            |
| Adjustments to Sectional Running Times                                                                 |                                                                              |          |          |          |           |           |            |            |
| Movement Up                                                                                            | Reason                                                                       | Value    |          |          |           |           |            |            |
| Trains from Pontefract to Knottingley C & W                                                            | Approach control                                                             | 1        |          |          |           |           |            |            |
| (Knottingley Depot)                                                                                    |                                                                              |          |          |          |           |           |            |            |
| Approaching Knottingley West Junction                                                                  |                                                                              |          |          |          |           |           |            |            |
| Junction Margins                                                                                       |                                                                              |          |          |          |           |           |            |            |
| 2nd move →                                                                                             | From                                                                         | From     | From     | From     | From      | From      | From       | From       |
|                                                                                                        | Shaft–                                                                       | Shaft–   | Goole to | Goole to | Ferry–    | Ferry–    | Crofton to | Crofton to |
| 1st move ↓                                                                                             | holme to                                                                     | holme to | Crofton  | Ferry–   | bridge to | bridge to | Goole      | Shaft–     |
|                                                                                                        | Crofton                                                                      | Ferry–   |          | bridge   | Goole     | Shaft–    |            | holme      |
|                                                                                                        |                                                                              | bridge   |          |          |           | holme     |            |            |
| From                                                                                                   | –                                                                            | 4        | 4        | 4        | No        | No        | No         | No         |
| Shaftholme to                                                                                          |                                                                              |          |          |          | conflict  | conflict  | conflict   | conflict   |
| Crofton                                                                                                |                                                                              |          |          |          |           |           |            |            |
| From Shaft-                                                                                            | 4                                                                            | –        | 4        | 4        | No        | No        | 4          | 4          |
| holme to                                                                                               |                                                                              |          |          |          | conflict  | conflict  |            |            |
| Ferrybridge                                                                                            |                                                                              |          |          |          |           |           |            |            |
| From Goole                                                                                             | 4                                                                            | 4        | –        | 4        | No        | 4         | No         | 4          |
| to Crofton                                                                                             |                                                                              |          |          |          | conflict  |           | conflict   |            |
| From Goole                                                                                             | 4                                                                            | 4        | 4        | –        | No        | 4         | 4          | 4          |
| to Ferrybridge                                                                                         |                                                                              |          |          |          | conflict  |           |            |            |
| From Ferry-                                                                                            | No                                                                           | No       | No       | No       | –         | 4         | 4          | 3          |
| bridge to                                                                                              | conflict                                                                     | conflict | conflict | conflict |           |           |            |            |
| Goole                                                                                                  |                                                                              |          |          |          |           |           |            |            |
| From                                                                                                   | No                                                                           | No       | 3        | 3        | 4         | –         | 3          | 3          |
| Ferrybridge to                                                                                         | conflict                                                                     | conflict |          |          |           |           |            |            |
| Shaftholme                                                                                             |                                                                              |          |          |          |           |           |            |            |
| From                                                                                                   | No                                                                           | 3        | No       | 3        | 4         | 3         | –          | 4          |
| Crofton to                                                                                             | conflict                                                                     |          | conflict |          |           |           |            |            |
| Goole                                                                                                  |                                                                              |          |          |          |           |           |            |            |
| From                                                                                                   | No                                                                           | 3        | 3        | 3        | 3         | 4         | 4          | –          |
| Crofton to                                                                                             | conflict                                                                     |          |          |          |           |           |            |            |
| Shaftholme                                                                                             |                                                                              |          |          |          |           |           |            |            |
| Operating Restriction                                                                                  |                                                                              |          |          |          |           |           |            |            |
|                                                                                                        |                                                                              |          |          |          |           |           |            |            |
| •Knottingley West Junction must be clear before train is allowed to depart Ferrybridge Signal 6624 for |                                                                              |          |          |          |           |           |            |            |
| environmental reasons.  This does not apply to those trains worked by Class 59, 60 or 66 locomotives   |                                                                              |          |          |          |           |           |            |            |
| Knottingley                                                                                            |                                                                              |          |          |          |           |           |            |            |
| Minimum Turnround                                                                                      | 5 minutes for trains from Leeds or Wakefield.  When required ECS can run via |          |          |          |           |           |            |            |
|                                                                                                        | England Lane and UGL                                                         |          |          |          |           |           |            |            |
| Knottingley East Junction (England Lane)                                                               |                                                                              |          |          |          |           |           |            |            |
| Adjustments to Sectional Running Times                                                                 |                                                                              |          |          |          |           |           |            |            |
| Movement Down                                                                                          | Reason                                                                       | Value    |          |          |           |           |            |            |
| Freight trains from Knottingley TMD or                                                                 | Differential junction speed                                                  | 3        |          |          |           |           |            |            |
| Knottingley South Junction.                                                                            |                                                                              |          |          |          |           |           |            |            |
| After Knottingley East Jn                                                                              |                                                                              |          |          |          |           |           |            |            |
