|                                                                                                                 |                                                                                    |        |
|:----------------------------------------------------------------------------------------------------------------|:-----------------------------------------------------------------------------------|:-------|
| Rowley Regis                                                                                                    |                                                                                    |        |
| Adjustments to Sectional Running Times                                                                          |                                                                                    |        |
| Movement Down                                                                                                   | Reason                                                                             | Value  |
| Down Rowley Regis Goods Loop to Rowley                                                                          | Not at line speed passing Rowley Regis station                                     | 1⁄2    |
| Regis station (start to pass)                                                                                   |                                                                                    |        |
| Cradley Heath                                                                                                   |                                                                                    |        |
| Dwell Time                                                                                                      |                                                                                    |        |
| DMU                                                                                                             | 1 WMT                                                                              |        |
|                                                                                                                 | 1 Chiltern Railways – only applicable on trains towards                            |        |
|                                                                                                                 | Birmingham between 0630 and 0830                                                   |        |
| MD440 GALTON JN TO SMETHWICK JN                                                                                 |                                                                                    |        |
| Galton Jn                                                                                                       |                                                                                    |        |
| See entry under route MD301 Rugby Trent Valley Jn to Penkridge (via Birmingham)                                 |                                                                                    |        |
| Smethwick Jn                                                                                                    |                                                                                    |        |
| See entry under route MD435 Small Heath South Jn to Stourbridge North Jn                                        |                                                                                    |        |
| MD460 FENNY COMPTON TO BURTON DASSETT (KINETON MOD)                                                             |                                                                                    |        |
| Kineton Sidings 1 and 2 (Fenny Compton Exchange Sidings)                                                        |                                                                                    |        |
| Dwell Time                                                                                                      |                                                                                    |        |
| Towards Kineton MOD                                                                                             | 5 OP stop for signaller’s actions, and driver to withdraw the token                |        |
| From Kineton MOD                                                                                                | 10 OP stop for driver to confirm to signaller that the train is complete with tail |        |
|                                                                                                                 | lamp, and that the token has been replaced                                         |        |
| Junction Margins                                                                                                |                                                                                    |        |
| First Movement                                                                                                  | Second Movement                                                                    | Margin |
| Down arrive Kineton Sidings                                                                                     | Up depart Kineton Sidings                                                          | 1      |
| Up arrive Kineton Sidings                                                                                       | Down depart Kineton Sidings                                                        | 15     |
| Length restriction                                                                                              |                                                                                    |        |
| 72 SLU/461m between OL5157/5159 stop boards and OL1184/1186 signals on Kineton Sidings 1 and 2                  |                                                                                    |        |
| 93 SLU/600m at OL5157/5159 stop boards clear of 155 points                                                      |                                                                                    |        |
| Successive trains to and from Kineton MOD                                                                       |                                                                                    |        |
| 30 minutes to be allowed between arrival at Kineton MOD and departure from Kineton Sidings, similarly between   |                                                                                    |        |
| arrival at Kineton Sidings and departure from Kineton MOD, to allow for the token to be taken by road transport |                                                                                    |        |
| from one location to the other and signaller’s actions                                                          |                                                                                    |        |
