|        |        |            |         |                    |        |     |       |                |                      |       |      |    |
|:-------|:-------|:-----------|:--------|:-------------------|:-------|:----|------:|:---------------|:---------------------|:------|:-----|:---|
| UTU071 | 8 -    | 29/12/2023 | 39, 48, | Crewe -            | 3Q81SB | FO  | 23.48 | CREWE C.S.     | DERBY R.T.C.(NETWORK | 06.16 | UTU- | RG |
|        | weekly |            | 04, 12, | Manchester         |        |     |       | (L&NWR SITE)   | RAIL)                |       | T    |    |
|        |        |            | 20,     | Piccadilly -       |        |     |       |                |                      |       |      |    |
|        |        |            | 28 & 36 | Crewe - Derby      |        |     |       |                |                      |       |      |    |
| UTU012 | 8 -    | 29/01/2024 | 44, 52, | Derby RTC -        | 3Z20DB | MO  | 21.22 | DERBY          | BRISTOL KINGSLAND    | 05.38 | UTU- | RG |
| A &    | weekly |            | 08, 16, | Leics - Castle     |        |     |       | R.T.C.(NETWORK | ROAD                 |       | T    |    |
| UTU012 |        |            | 24 &    | Bromwich -         |        |     |       | RAIL)          |                      |       |      |    |
| B      |        |            | 32      | Birmingham -       |        |     |       |                |                      |       |      |    |
|        |        |            |         | Bristol            |        |     |       |                |                      |       |      |    |
|        |        |            |         | Kingsland Road     |        |     |       |                |                      |       |      |    |
|        |        |            |         | operates in        |        |     |       |                |                      |       |      |    |
|        |        |            |         | conjunction with   |        |     |       |                |                      |       |      |    |
|        |        |            |         | UTU012B            |        |     |       |                |                      |       |      |    |
| UTU115 | 8 -    | 30/01/2024 | 44, 52, | Bristol            | 3Z22DA | TO  | 23.48 | BRISTOL        | CANTON PULLMANS      | 07.49 | UTU- | RG |
|        | weekly |            | 08, 16, | Kingsland Road     |        |     |       | KINGSLAND ROAD |                      |       | T    |    |
|        |        |            | 24 &    | - Exeter - Bristol |        |     |       |                |                      |       |      |    |
|        |        |            | 32      | - Cardiff Canton   |        |     |       |                |                      |       |      |    |
| UTU118 | 8 -    | 01/02/2024 | 44, 52, | Cardiff Canton -   | 3Z33DA | ThO | 23.59 | CANTON         | BRISTOL KINGSLAND    | 07.08 | UTU- | RG |
|        | weekly |            | 08, 16, | Swansea -          |        |     |       | PULLMANS       | ROAD                 | 1⁄2   | T    |    |
|        |        |            | 24 &    | Bristol            |        |     |       |                |                      |       |      |    |
|        |        |            | 32      | Kingsland Road     |        |     |       |                |                      |       |      |    |
