|                                                                                                                    |                    |                                           |
|:-------------------------------------------------------------------------------------------------------------------|:-------------------|:------------------------------------------|
| Saltwood Junction                                                                                                  |                    |                                           |
| Movement Up                                                                                                        | Reason             | Value                                     |
| All freight trains timed at 60 mph which have                                                                      | Speed Differential | 1                                         |
| passed through Saltwood Junction                                                                                   |                    |                                           |
| All freight trains timed at 75 mph which have                                                                      | Speed Differential | 11⁄2                                      |
| passed through Saltwood Junction                                                                                   |                    |                                           |
| Planning Note                                                                                                      |                    |                                           |
| Any freight allowances shown should only apply to and from Dollands Moor Sidings                                   |                    |                                           |
| Folkestone East                                                                                                    |                    |                                           |
| Berthing Facilities                                                                                                |                    |                                           |
| Location                                                                                                           | Cars               |                                           |
| Train Road 1                                                                                                       | 14                 |                                           |
| Train Road 2                                                                                                       | 14                 |                                           |
| Train Road 3                                                                                                       | 14                 |                                           |
| Planning Note                                                                                                      |                    |                                           |
| Any train travelling in the Down direction which requires to couple to a train already berthed in any of the three |                    |                                           |
| train roads must first be sent to an empty train road. It will then be shunted via signal YE62 on the Up Main line |                    |                                           |
| and into the appropriate Train Road to be coupled.                                                                 |                    |                                           |
| Dover Priory                                                                                                       |                    |                                           |
| Berthing Facilities                                                                                                |                    |                                           |
| Location                                                                                                           | Cars               | Notes                                     |
| No 1 Siding                                                                                                        | 8                  |                                           |
| No 2 Siding                                                                                                        | 8                  |                                           |
| No 3 Siding                                                                                                        | 8                  |                                           |
| Up Platform Loop                                                                                                   | 8                  |                                           |
| (Platform 3)                                                                                                       |                    |                                           |
| Permissive Working for attaching/detaching and platform sharing is authorised as shown below:                      |                    |                                           |
| Platform 1                                                                                                         |                    | Attaching/Detaching and Platform Sharing  |
| Platform 2                                                                                                         |                    | Attaching/ Detaching and Platform Sharing |
| Platform 3                                                                                                         |                    | Attaching/Detaching and Platform Sharing  |
| Connectional Allowance                                                                                             | 4                  |                                           |
| Dwell Time                                                                                                         |                    |                                           |
| All Services                                                                                                       | 1                  |                                           |
| Planning Note                                                                                                      |                    |                                           |
| It is not possible to use YE621 or YE623 shunt signal at the same time due to their close proximity, so therefore  |                    |                                           |
| only 1 move can take place at any time                                                                             |                    |                                           |
